Brb2Rus012010,Y:\Documents\Engineering\Data\LOR\Brb2Rus012010,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,0,0,0,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1000,RailT2,+38.411455819,-82.289606691,481.391,13950942.649,1271025.413,583.071,6.995,10:46:16 20 Jan 2010,0,0,0,0.028,0.041,0.004,,,,1,13
1001,RailT2,+38.411463271,-82.289621978,481.413,13950945.423,1271021.072,583.093,6.995,10:46:19 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1002,RailT2,+38.411471504,-82.289638936,481.372,13950948.488,1271016.256,583.053,6.995,10:46:20 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1003,RailT2,+38.411479344,-82.289655002,481.382,13950951.407,1271011.694,583.062,6.995,10:46:22 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1004,RailT2,+38.411486976,-82.289670400,481.339,13950954.247,1271007.323,583.019,6.995,10:46:23 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1005,RailT2,+38.411494691,-82.289686087,481.301,13950957.119,1271002.868,582.981,6.995,10:46:24 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1006,RailT2,+38.411502509,-82.289702161,481.277,13950960.029,1270998.303,582.957,6.995,10:46:25 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1007,RailT2,+38.411510501,-82.289718338,481.271,13950963.004,1270993.710,582.951,6.995,10:46:26 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1008,RailT2,+38.411518516,-82.289734238,481.302,13950965.985,1270989.197,582.982,6.995,10:46:27 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1009,RailT2,+38.411526386,-82.289750098,481.311,13950968.914,1270984.694,582.991,6.995,10:46:28 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1010,RailT2,+38.411534389,-82.289765833,481.341,13950971.891,1270980.227,583.022,6.995,10:46:29 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1011,RailT2,+38.411542123,-82.289780995,481.384,13950974.767,1270975.924,583.064,6.995,10:46:29 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1012,RailT2,+38.411549870,-82.289796284,481.365,13950977.649,1270971.583,583.045,6.995,10:46:30 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1013,RailT2,+38.411557999,-82.289811999,481.385,13950980.671,1270967.123,583.065,6.995,10:46:31 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1014,RailT2,+38.411565998,-82.289827526,481.384,13950983.646,1270962.716,583.064,6.995,10:46:32 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1015,RailT2,+38.411573727,-82.289842817,481.367,13950986.521,1270958.376,583.047,6.995,10:46:33 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1016,RailT2,+38.411581528,-82.289857878,481.400,13950989.421,1270954.101,583.080,6.995,10:46:33 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1017,RailT2,+38.411589872,-82.289874016,481.395,13950992.524,1270949.521,583.075,6.995,10:46:34 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1018,RailT2,+38.411598960,-82.289891486,481.426,13950995.902,1270944.563,583.106,6.995,10:46:35 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1019,RailT2,+38.411608638,-82.289910117,481.391,13950999.500,1270939.275,583.071,6.995,10:46:36 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1020,RailT2,+38.411618628,-82.289929309,481.419,13951003.214,1270933.829,583.099,6.995,10:46:37 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1021,RailT2,+38.411628559,-82.289948230,481.414,13951006.905,1270928.460,583.094,6.995,10:46:37 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1022,RailT2,+38.411638336,-82.289966633,481.455,13951010.539,1270923.238,583.135,6.995,10:46:38 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1023,RailT2,+38.411648121,-82.289984979,481.490,13951014.174,1270918.033,583.170,6.995,10:46:39 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1024,RailT2,+38.411657965,-82.290003437,481.457,13951017.832,1270912.796,583.138,6.995,10:46:40 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1025,RailT2,+38.411666492,-82.290019333,481.472,13951021.000,1270908.286,583.152,6.995,10:46:41 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1026,RailT2,+38.411674921,-82.290034908,481.496,13951024.132,1270903.867,583.176,6.995,10:46:41 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1027,RailT2,+38.411684450,-82.290052553,481.487,13951027.671,1270898.861,583.167,6.995,10:46:42 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1028,RailT2,+38.411693905,-82.290069956,481.467,13951031.183,1270893.924,583.147,6.995,10:46:43 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1029,RailT2,+38.411703330,-82.290087011,481.466,13951034.683,1270889.087,583.146,6.995,10:46:43 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1030,RailT2,+38.411712710,-82.290103940,481.485,13951038.166,1270884.286,583.166,6.995,10:46:44 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1031,RailT2,+38.411721983,-82.290120631,481.483,13951041.608,1270879.552,583.163,6.995,10:46:45 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1032,RailT2,+38.411731139,-82.290137174,481.471,13951045.008,1270874.860,583.151,6.995,10:46:46 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1033,RailT2,+38.411740395,-82.290153444,481.451,13951048.443,1270870.246,583.131,6.995,10:46:47 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1034,RailT2,+38.411749522,-82.290169696,481.393,13951051.831,1270865.638,583.073,6.995,10:46:47 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1035,RailT2,+38.411758559,-82.290185906,481.449,13951055.186,1270861.040,583.129,6.995,10:46:48 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1036,RailT2,+38.411767737,-82.290202094,481.440,13951058.592,1270856.450,583.120,6.995,10:46:49 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1037,RailT2,+38.411776687,-82.290218071,481.395,13951061.915,1270851.919,583.075,6.995,10:46:50 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1038,RailT2,+38.411785058,-82.290232910,481.363,13951065.022,1270847.711,583.043,6.995,10:46:51 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1039,RailT2,+38.411793738,-82.290248094,481.337,13951068.243,1270843.406,583.017,6.995,10:46:52 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1040,RailT2,+38.411802251,-82.290262984,481.335,13951071.402,1270839.184,583.015,6.995,10:46:53 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1041,RailT2,+38.411811090,-82.290278403,481.367,13951074.681,1270834.812,583.047,6.995,10:46:54 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1042,RailT2,+38.411820021,-82.290293564,481.299,13951077.993,1270830.515,582.979,6.995,10:46:56 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1043,RailT2,+38.411828485,-82.290308083,481.249,13951081.133,1270826.399,582.929,6.995,10:46:58 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1044,RailT2,+38.411837046,-82.290322691,481.222,13951084.308,1270822.258,582.902,6.995,10:46:59 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1045,RailT2,+38.411846294,-82.290338610,481.203,13951087.739,1270817.745,582.883,6.995,10:47:00 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1046,RailT2,+38.411854563,-82.290352551,481.186,13951090.805,1270813.794,582.866,6.995,10:47:02 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1047,RailT2,+38.411862850,-82.290366532,481.189,13951093.878,1270809.832,582.869,6.995,10:47:03 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1048,RailT2,+38.411871237,-82.290380769,481.164,13951096.989,1270805.796,582.844,6.995,10:47:05 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1049,RailT2,+38.411880431,-82.290396319,481.201,13951100.398,1270801.389,582.881,6.995,10:47:07 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1050,RailT2,+38.411889332,-82.290411743,481.195,13951103.701,1270797.016,582.875,6.995,10:47:09 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1051,RailT2,+38.411898185,-82.290426779,481.156,13951106.984,1270792.754,582.836,6.995,10:47:10 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1052,RailT2,+38.411907499,-82.290442356,481.094,13951110.437,1270788.340,582.774,6.995,10:47:12 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1053,RailT2,+38.411916105,-82.290456986,481.053,13951113.629,1270784.193,582.733,6.995,10:47:14 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1054,RailT2,+38.411924637,-82.290471471,481.073,13951116.793,1270780.087,582.753,6.995,10:47:15 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
