mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 512,+1,    0, 7021,512.00442,    NaN,564.64443,    NaN,    NaN,-0.09874
 512,+1,   15, 7021,512.00662,    NaN,564.66186,    NaN,    NaN, 0.18486
 512,+1,   31, 7021,512.00883,    NaN,564.68477,    NaN,    NaN, 0.09872
 512,+1,   46, 7021,512.01104,    NaN,564.73606,    NaN,    NaN, 0.23871
 512,+1,   62, 7021,512.01325,    NaN,564.74312,    NaN,    NaN, 0.12004
 512,+1,   77, 7021,512.01545,    NaN,564.79221,    NaN,    NaN,-0.21217
 512,+1,   93, 7021,512.01766,    NaN,564.83074,    NaN,    NaN,-0.39987
 512,+1,  108, 7021,512.01987,    NaN,564.84026,    NaN,    NaN, 0.06971
 512,+1,  124, 7021,512.02208,    NaN,564.91758,    NaN,    NaN, 0.28765
 512,+1,  139, 7021,512.02428,    NaN,564.91622,    NaN,    NaN,-0.05865
 512,+1,  155, 7021,512.02649,    NaN,565.00486,    NaN,    NaN,-0.07779
 512,+1,  170, 7021,512.02870,    NaN,565.06076,    NaN,    NaN,-0.03156
 512,+1,  186, 7021,512.03091,    NaN,565.06264,    NaN,    NaN, 0.10162
 512,+1,  201, 7021,512.03311,    NaN,565.08806,    NaN,    NaN, 0.10306
 512,+1,  217, 7021,512.03532,    NaN,565.19261,    NaN,    NaN, 0.03269
 512,+1,  232, 7021,512.03753,    NaN,565.18437,    NaN,    NaN, 0.02727
 512,+1,  248, 7021,512.03974,    NaN,565.20456,    NaN,    NaN,-0.04727
 512,+1,  263, 7021,512.04194,    NaN,565.19894,    NaN,    NaN, 0.05981
 512,+1,  279, 7021,512.04415,    NaN,565.19176,    NaN,    NaN, 0.04976
 512,+1,  294, 7021,512.04636,    NaN,565.25227,    NaN,    NaN,-0.12736
 512,+1,  310, 7021,512.04857,    NaN,565.25783,    NaN,    NaN,-0.14139
 512,+1,  325, 7021,512.05077,    NaN,565.27792,    NaN,    NaN,-0.21598
 512,+1,  341, 7021,512.05298,    NaN,565.30451,    NaN,    NaN, 0.06634
 512,+1,  356, 7021,512.05519,    NaN,565.30400,    NaN,    NaN, 0.21888
 512,+1,  372, 7021,512.05740,    NaN,565.32379,    NaN,    NaN, 0.16463
 512,+1,  387, 7021,512.05960,    NaN,565.33271,    NaN,    NaN, 0.15817
 512,+1,  403, 7021,512.06181,    NaN,565.34538,    NaN,    NaN,-0.17957
 512,+1,  418, 7021,512.06402,    NaN,565.36300,    NaN,    NaN,-0.13560
 512,+1,  434, 7021,512.06623,    NaN,565.38223,    NaN,    NaN, 0.07478
 512,+1,  449, 7021,512.06843,    NaN,565.40278,    NaN,    NaN, 0.12033
 512,+1,  465, 7021,512.07064,    NaN,565.38628,    NaN,    NaN, 0.15541
 512,+1,  480, 7021,512.07285,    NaN,565.41494,    NaN,    NaN, 0.00263
 512,+1,  496, 7021,512.07506,    NaN,565.42316,    NaN,    NaN,-0.29004
 512,+1,  511, 7021,512.07726,    NaN,565.40724,    NaN,    NaN,-0.17555
 512,+1,  527, 7021,512.07947,    NaN,565.39526,    NaN,    NaN, 0.16364
 512,+1,  542, 7021,512.08168,    NaN,565.41883,    NaN,    NaN, 0.06914
 512,+1,  558, 7021,512.08389,    NaN,565.45203,    NaN,    NaN,-0.29342
 512,+1,  573, 7021,512.08609,    NaN,565.43473,    NaN,    NaN,-0.12419
 512,+1,  589, 7021,512.08830,    NaN,565.45103,    NaN,    NaN, 0.31887
 512,+1,  604, 7021,512.09051,    NaN,565.45304,    NaN,    NaN, 0.32856
 512,+1,  620, 7021,512.09272,    NaN,565.45200,    NaN,    NaN,-0.07919
 512,+1,  635, 7021,512.09492,    NaN,565.44466,    NaN,    NaN,-0.07351
 512,+1,  651, 7021,512.09713,    NaN,565.46300,    NaN,    NaN, 0.03916
 512,+1,  666, 7021,512.09934,    NaN,565.48772,    NaN,    NaN, 0.09512
 512,+1,  682, 7021,512.10155,    NaN,565.50067,    NaN,    NaN, 0.09738
 512,+1,  697, 7021,512.10375,    NaN,565.48346,    NaN,    NaN, 0.06458
 512,+1,  713, 7021,512.10596,    NaN,565.52246,    NaN,    NaN, 0.11402
 512,+1,  728, 7021,512.10817,    NaN,565.52439,    NaN,    NaN, 0.07892
 512,+1,  744, 7021,512.11038,    NaN,565.52791,    NaN,    NaN, 0.15356
 512,+1,  759, 7021,512.11258,    NaN,565.54646,    NaN,    NaN, 0.16868
 512,+1,  775, 7021,512.11479,    NaN,565.54387,    NaN,    NaN,-0.18260
 512,+1,  790, 7021,512.11700,    NaN,565.57340,    NaN,    NaN,-0.21891
 512,+1,  806, 7021,512.11921,    NaN,565.56803,    NaN,    NaN,-0.06520
 512,+1,  821, 7021,512.12141,    NaN,565.57083,    NaN,    NaN, 0.02305
 512,+1,  837, 7021,512.12362,    NaN,565.57378,    NaN,    NaN, 0.13238
 512,+1,  852, 7021,512.12583,    NaN,565.56466,    NaN,    NaN,-0.09584
 512,+1,  868, 7021,512.12804,    NaN,565.59811,    NaN,    NaN,-0.18676
 512,+1,  883, 7021,512.13024,    NaN,565.58538,    NaN,    NaN,-0.35624
 512,+1,  899, 7021,512.13245,    NaN,565.61344,    NaN,    NaN,-0.37988
 512,+1,  914, 7021,512.13466,    NaN,565.60798,    NaN,    NaN, 0.44410
 512,+1,  930, 7021,512.13687,    NaN,565.65865,    NaN,    NaN, 0.27370
 512,+1,  945, 7021,512.13907,    NaN,565.63733,    NaN,    NaN,-0.43268
 512,+1,  961, 7021,512.14128,    NaN,565.67697,    NaN,    NaN,-0.09496
 512,+1,  976, 7021,512.14349,    NaN,565.68400,    NaN,    NaN, 0.41761
 512,+1,  992, 7021,512.14570,    NaN,565.74217,    NaN,    NaN, 0.02978
 512,+1, 1007, 7021,512.14790,    NaN,565.76642,    NaN,    NaN, 0.03582
 512,+1, 1023, 7021,512.15011,    NaN,565.79897,    NaN,    NaN, 0.06784
 512,+1, 1038, 7021,512.15232,    NaN,565.80391,    NaN,    NaN, 0.05009
 512,+1, 1054, 7021,512.15453,    NaN,565.81693,    NaN,    NaN, 0.07783
 512,+1, 1069, 7021,512.15673,    NaN,565.80532,    NaN,    NaN,-0.23386
 512,+1, 1085, 7021,512.15894,    NaN,565.79728,    NaN,    NaN,-0.23710
 512,+1, 1100, 7021,512.16115,    NaN,565.79206,    NaN,    NaN, 0.12941
 512,+1, 1116, 7021,512.16336,    NaN,565.76695,    NaN,    NaN, 0.30488
 512,+1, 1131, 7021,512.16556,    NaN,565.77187,    NaN,    NaN, 0.07609
 512,+1, 1147, 7021,512.16777,    NaN,565.75173,    NaN,    NaN,-0.01805
 512,+1, 1162, 7021,512.16998,    NaN,565.73307,    NaN,    NaN,-0.15297
 512,+1, 1178, 7021,512.17219,    NaN,565.72836,    NaN,    NaN, 0.01916
 512,+1, 1193, 7021,512.17439,    NaN,565.72765,    NaN,    NaN, 0.01802
 512,+1, 1209, 7021,512.17660,    NaN,565.65582,    NaN,    NaN,-0.03300
 512,+1, 1224, 7021,512.17881,    NaN,565.62225,    NaN,    NaN, 0.17419
 512,+1, 1240, 7021,512.18102,    NaN,565.65270,    NaN,    NaN, 0.14273
 512,+1, 1255, 7021,512.18322,    NaN,565.58106,    NaN,    NaN,-0.09948
 512,+1, 1271, 7021,512.18543,    NaN,565.57792,    NaN,    NaN,-0.19359
 512,+1, 1286, 7021,512.18764,    NaN,565.57088,    NaN,    NaN, 0.13525
 512,+1, 1302, 7021,512.18985,    NaN,565.55502,    NaN,    NaN, 0.26831
 512,+1, 1317, 7021,512.19205,    NaN,565.54131,    NaN,    NaN,-0.22254
 512,+1, 1333, 7021,512.19426,    NaN,565.56321,    NaN,    NaN,-0.20169
 512,+1, 1348, 7021,512.19647,    NaN,565.55947,    NaN,    NaN, 0.18156
 512,+1, 1364, 7021,512.19868,    NaN,565.59542,    NaN,    NaN,-0.09366
 512,+1, 1379, 7021,512.20088,    NaN,565.60963,    NaN,    NaN,-0.23329
 512,+1, 1395, 7021,512.20309,    NaN,565.63658,    NaN,    NaN, 0.31673
 512,+1, 1410, 7021,512.20530,    NaN,565.64025,    NaN,    NaN, 0.26727
 512,+1, 1426, 7021,512.20751,    NaN,565.63496,    NaN,    NaN,-0.03062
 512,+1, 1441, 7021,512.20971,    NaN,565.68718,    NaN,    NaN,-0.09329
 512,+1, 1457, 7021,512.21192,    NaN,565.76183,    NaN,    NaN,-0.16430
 512,+1, 1472, 7021,512.21413,    NaN,565.74404,    NaN,    NaN, 0.06781
 512,+1, 1488, 7021,512.21634,    NaN,565.75359,    NaN,    NaN, 0.11251
 512,+1, 1503, 7021,512.21854,    NaN,565.76858,    NaN,    NaN,-0.01890
