brb2rusABCD,Y:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1000_B,RCL,+38.411222830,-82.263040760,479.975,13950749.750,1278635.077,581.689,6.995,09:00:20 5 Feb 2010,0.000,0.000,0.000,0.044,0.054,0.005,,,,1,13
1001_B,RCL,+38.411212358,-82.263054863,479.988,13950745.993,1278630.985,581.701,6.995,09:00:25 5 Feb 2010,0.000,0.000,0.000,0.045,0.055,0.005,,,,1,13
1002_B,RCL,+38.411200569,-82.263070096,479.960,13950741.761,1278626.562,581.674,6.995,09:00:25 5 Feb 2010,0.000,0.000,0.000,0.045,0.055,0.005,,,,1,13
1003_B,RCL,+38.411189709,-82.263084826,480.017,13950737.865,1278622.289,581.730,6.995,09:00:26 5 Feb 2010,0.000,0.000,0.000,0.048,0.059,0.005,,,,1,13
1004_B,RCL,+38.411177543,-82.263101084,480.048,13950733.500,1278617.571,581.762,6.995,09:00:27 5 Feb 2010,0.000,0.000,0.000,0.045,0.055,0.005,,,,1,13
1005_B,RCL,+38.411164255,-82.263118839,480.074,13950728.732,1278612.419,581.787,6.995,09:00:27 5 Feb 2010,0.000,0.000,0.000,0.045,0.055,0.005,,,,1,13
1006_B,RCL,+38.411149981,-82.263137700,479.970,13950723.609,1278606.945,581.684,6.995,09:00:28 5 Feb 2010,0.000,0.000,0.000,0.042,0.051,0.004,,,,1,13
1007_B,RCL,+38.411140044,-82.263151216,480.032,13950720.044,1278603.024,581.745,6.995,09:00:28 5 Feb 2010,0.000,0.000,0.000,0.042,0.051,0.004,,,,1,13
1008_B,RCL,+38.411129648,-82.263165386,480.033,13950716.315,1278598.913,581.746,6.995,09:00:29 5 Feb 2010,0.000,0.000,0.000,0.042,0.051,0.005,,,,1,13
1009_B,RCL,+38.411118609,-82.263180453,480.212,13950712.356,1278594.542,581.925,6.995,09:00:29 5 Feb 2010,0.000,0.000,0.000,0.042,0.051,0.005,,,,1,13
1010_B,RCL,+38.411106829,-82.263195649,480.124,13950708.127,1278590.130,581.837,6.995,09:00:29 5 Feb 2010,0.000,0.000,0.000,0.042,0.051,0.005,,,,1,13
1011_B,RCL,+38.411094362,-82.263211878,480.067,13950703.651,1278585.419,581.780,6.995,09:00:30 5 Feb 2010,0.000,0.000,0.000,0.048,0.059,0.005,,,,1,13
1012_B,RCL,+38.411081548,-82.263229079,480.026,13950699.054,1278580.428,581.739,6.995,09:00:30 5 Feb 2010,0.000,0.000,0.000,0.048,0.059,0.005,,,,1,13
1013_B,RCL,+38.411071625,-82.263242637,479.982,13950695.495,1278576.495,581.695,6.995,09:00:31 5 Feb 2010,0.000,0.001,0.001,0.077,0.095,0.005,,,,1,13
1014_B,RCL,+38.411061288,-82.263256578,480.043,13950691.786,1278572.450,581.756,6.995,09:00:31 5 Feb 2010,0.000,0.001,0.001,0.077,0.095,0.008,,,,1,13
1015_B,RCL,+38.411046952,-82.263275601,480.003,13950686.641,1278566.930,581.716,6.995,09:00:31 5 Feb 2010,0.000,0.001,0.001,0.077,0.095,0.008,,,,1,13
1016_B,RCL,+38.411036079,-82.263290453,480.052,13950682.741,1278562.621,581.765,6.995,09:00:32 5 Feb 2010,0.000,0.000,0.000,0.040,0.049,0.008,,,,1,13
1017_B,RCL,+38.411024870,-82.263305485,480.027,13950678.720,1278558.259,581.740,6.995,09:00:32 5 Feb 2010,0.000,0.000,0.000,0.040,0.049,0.004,,,,1,13
1018_B,RCL,+38.411009456,-82.263325911,479.979,13950673.188,1278552.331,581.692,6.995,09:00:32 5 Feb 2010,0.000,0.000,0.000,0.040,0.049,0.004,,,,1,13
1019_B,RCL,+38.410997796,-82.263341568,479.974,13950669.004,1278547.788,581.687,6.995,09:00:33 5 Feb 2010,0.000,0.000,0.000,0.043,0.053,0.004,,,,1,13
1020_B,RCL,+38.410985994,-82.263357645,480.036,13950664.771,1278543.124,581.749,6.995,09:00:33 5 Feb 2010,0.000,0.000,0.000,0.043,0.053,0.005,,,,1,13
