mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 511,+1,    0, 5319,511.00583,    NaN,559.53034,    NaN,    NaN, 1.10669
 511,+1,   15, 5319,511.00874,    NaN,559.57604,    NaN,    NaN, 0.60133
 511,+1,   31, 5319,511.01166,    NaN,559.56910,    NaN,    NaN,-0.36905
 511,+1,   46, 5319,511.01457,    NaN,559.71129,    NaN,    NaN,-0.77842
 511,+1,   62, 5319,511.01749,    NaN,559.69930,    NaN,    NaN,-0.39456
 511,+1,   77, 5319,511.02040,    NaN,559.73742,    NaN,    NaN, 0.60380
 511,+1,   93, 5319,511.02331,    NaN,559.78372,    NaN,    NaN, 0.58849
 511,+1,  108, 5319,511.02623,    NaN,559.88990,    NaN,    NaN,-0.41284
 511,+1,  124, 5319,511.02914,    NaN,560.03024,    NaN,    NaN,-0.36979
 511,+1,  139, 5319,511.03206,    NaN,560.08832,    NaN,    NaN,-0.01304
 511,+1,  155, 5319,511.03497,    NaN,560.18238,    NaN,    NaN, 0.19796
 511,+1,  170, 5319,511.03789,    NaN,560.20215,    NaN,    NaN, 0.34394
 511,+1,  186, 5319,511.04080,    NaN,560.27016,    NaN,    NaN, 0.18253
 511,+1,  201, 5319,511.04371,    NaN,560.34564,    NaN,    NaN, 0.04293
 511,+1,  217, 5319,511.04663,    NaN,560.43386,    NaN,    NaN,-0.19727
 511,+1,  232, 5319,511.04954,    NaN,560.47312,    NaN,    NaN,-0.10104
 511,+1,  248, 5319,511.05246,    NaN,560.55206,    NaN,    NaN, 0.14079
 511,+1,  263, 5319,511.05537,    NaN,560.61331,    NaN,    NaN, 0.17149
 511,+1,  279, 5319,511.05829,    NaN,560.64085,    NaN,    NaN, 0.26781
 511,+1,  294, 5319,511.06120,    NaN,560.78440,    NaN,    NaN,-0.55724
 511,+1,  310, 5319,511.06411,    NaN,560.83024,    NaN,    NaN,-0.35665
 511,+1,  325, 5319,511.06703,    NaN,560.89489,    NaN,    NaN, 0.04705
 511,+1,  341, 5319,511.06994,    NaN,560.89819,    NaN,    NaN,-0.15769
 511,+1,  356, 5319,511.07286,    NaN,560.95689,    NaN,    NaN, 0.11702
 511,+1,  372, 5319,511.07577,    NaN,561.07976,    NaN,    NaN,-0.01722
 511,+1,  387, 5319,511.07869,    NaN,561.11351,    NaN,    NaN,-0.16398
 511,+1,  403, 5319,511.08160,    NaN,561.20259,    NaN,    NaN, 0.22442
 511,+1,  418, 5319,511.08451,    NaN,561.26400,    NaN,    NaN, 0.51415
 511,+1,  434, 5319,511.08743,    NaN,561.31636,    NaN,    NaN, 0.27725
 511,+1,  449, 5319,511.09034,    NaN,561.36610,    NaN,    NaN,-0.17275
 511,+1,  465, 5319,511.09326,    NaN,561.41498,    NaN,    NaN,-0.09291
 511,+1,  480, 5319,511.09617,    NaN,561.47909,    NaN,    NaN, 0.13854
 511,+1,  496, 5319,511.09909,    NaN,561.49637,    NaN,    NaN, 0.00104
 511,+1,  511, 5319,511.10200,    NaN,561.59386,    NaN,    NaN, 0.66381
 511,+1,  527, 5319,511.10491,    NaN,561.67449,    NaN,    NaN,-0.06963
 511,+1,  542, 5319,511.10783,    NaN,561.74043,    NaN,    NaN,-0.82902
 511,+1,  558, 5319,511.11074,    NaN,561.85590,    NaN,    NaN,-0.08645
 511,+1,  573, 5319,511.11366,    NaN,561.90496,    NaN,    NaN,-0.25630
 511,+1,  589, 5319,511.11657,    NaN,561.98132,    NaN,    NaN,-0.76083
 511,+1,  604, 5319,511.11949,    NaN,562.00888,    NaN,    NaN, 0.39989
 511,+1,  620, 5319,511.12240,    NaN,562.09723,    NaN,    NaN, 0.41802
 511,+1,  635, 5319,511.12531,    NaN,562.15868,    NaN,    NaN,-0.36922
 511,+1,  651, 5319,511.12823,    NaN,562.22112,    NaN,    NaN, 0.08413
 511,+1,  666, 5319,511.13114,    NaN,562.29982,    NaN,    NaN, 0.68931
 511,+1,  682, 5319,511.13406,    NaN,562.35129,    NaN,    NaN, 0.25129
 511,+1,  697, 5319,511.13697,    NaN,562.38022,    NaN,    NaN,-0.35844
 511,+1,  713, 5319,511.13989,    NaN,562.44851,    NaN,    NaN,-0.14297
 511,+1,  728, 5319,511.14280,    NaN,562.47171,    NaN,    NaN, 0.17813
 511,+1,  744, 5319,511.14571,    NaN,562.51873,    NaN,    NaN,-0.42443
 511,+1,  759, 5319,511.14863,    NaN,562.53725,    NaN,    NaN,-0.72678
 511,+1,  775, 5319,511.15154,    NaN,562.58265,    NaN,    NaN, 0.00482
 511,+1,  790, 5319,511.15446,    NaN,562.58708,    NaN,    NaN, 0.14963
 511,+1,  806, 5319,511.15737,    NaN,562.63442,    NaN,    NaN, 0.23868
 511,+1,  821, 5319,511.16029,    NaN,562.62989,    NaN,    NaN,-0.22329
 511,+1,  837, 5319,511.16320,    NaN,562.68591,    NaN,    NaN,-0.16423
 511,+1,  852, 5319,511.16611,    NaN,562.73634,    NaN,    NaN, 0.31060
 511,+1,  868, 5319,511.16903,    NaN,562.78801,    NaN,    NaN, 0.50338
 511,+1,  883, 5319,511.17194,    NaN,562.79637,    NaN,    NaN, 0.32049
 511,+1,  899, 5319,511.17486,    NaN,562.85012,    NaN,    NaN,-0.49538
 511,+1,  914, 5319,511.17777,    NaN,562.89158,    NaN,    NaN,-1.22783
 511,+1,  930, 5319,511.18069,    NaN,562.87083,    NaN,    NaN,-1.00738
 511,+1,  945, 5319,511.18360,    NaN,562.89034,    NaN,    NaN, 0.70299
 511,+1,  961, 5319,511.18651,    NaN,562.94758,    NaN,    NaN, 1.32452
 511,+1,  976, 5319,511.18943,    NaN,562.96924,    NaN,    NaN, 0.54900
 511,+1,  992, 5319,511.19234,    NaN,563.05867,    NaN,    NaN,-0.59546
 511,+1, 1007, 5319,511.19526,    NaN,563.04985,    NaN,    NaN,-0.73071
 511,+1, 1023, 5319,511.19817,    NaN,563.07060,    NaN,    NaN,-0.34924
 511,+1, 1038, 5319,511.20109,    NaN,563.08696,    NaN,    NaN, 0.20799
 511,+1, 1054, 5319,511.20400,    NaN,563.12616,    NaN,    NaN, 0.33807
 511,+1, 1069, 5319,511.20691,    NaN,563.14206,    NaN,    NaN,-0.26968
 511,+1, 1085, 5319,511.20983,    NaN,563.14595,    NaN,    NaN, 0.09577
 511,+1, 1100, 5319,511.21274,    NaN,563.15607,    NaN,    NaN, 1.14450
 511,+1, 1116, 5319,511.21566,    NaN,563.11021,    NaN,    NaN, 0.24860
 511,+1, 1131, 5319,511.21857,    NaN,563.12831,    NaN,    NaN,-0.54561
 511,+1, 1147, 5319,511.22149,    NaN,563.14142,    NaN,    NaN,-0.46471
 511,+1, 1162, 5319,511.22440,    NaN,563.18716,    NaN,    NaN,-0.01016
 511,+1, 1178, 5319,511.22731,    NaN,563.18558,    NaN,    NaN,-0.02965
 511,+1, 1193, 5319,511.23023,    NaN,563.20491,    NaN,    NaN,-0.19728
 511,+1, 1209, 5319,511.23314,    NaN,563.26132,    NaN,    NaN, 0.03765
 511,+1, 1224, 5319,511.23606,    NaN,563.24749,    NaN,    NaN, 0.84657
 511,+1, 1240, 5319,511.23897,    NaN,563.27414,    NaN,    NaN, 0.19550
 511,+1, 1255, 5319,511.24189,    NaN,563.27893,    NaN,    NaN,-0.53804
 511,+1, 1271, 5319,511.24480,    NaN,563.31062,    NaN,    NaN, 0.05486
 511,+1, 1286, 5319,511.24771,    NaN,563.38400,    NaN,    NaN, 0.14942
 511,+1, 1302, 5319,511.25063,    NaN,563.39596,    NaN,    NaN,-1.33480
 511,+1, 1317, 5319,511.25354,    NaN,563.44438,    NaN,    NaN,-0.69799
 511,+1, 1333, 5319,511.25646,    NaN,563.53582,    NaN,    NaN, 1.62445
 511,+1, 1348, 5319,511.25937,    NaN,563.29873,    NaN,    NaN, 0.32372
 511,+1, 1364, 5319,511.26228,    NaN,563.22082,    NaN,    NaN,-0.98432
 511,+1, 1379, 5319,511.26520,    NaN,563.23984,    NaN,    NaN,-0.09045
 511,+1, 1395, 5319,511.26811,    NaN,563.39740,    NaN,    NaN, 0.33481
 511,+1, 1410, 5319,511.27102,    NaN,563.40563,    NaN,    NaN, 0.06871
 511,+1, 1426, 5319,511.27394,    NaN,563.42234,    NaN,    NaN,-0.20211
 511,+1, 1441, 5319,511.27685,    NaN,563.47478,    NaN,    NaN, 0.06345
 511,+1, 1457, 5319,511.27977,    NaN,563.48547,    NaN,    NaN, 0.00336
 511,+1, 1472, 5319,511.28268,    NaN,563.51599,    NaN,    NaN,-0.51726
 511,+1, 1488, 5319,511.28560,    NaN,563.51169,    NaN,    NaN,-0.32604
 511,+1, 1503, 5319,511.28851,    NaN,563.62296,    NaN,    NaN,-0.01378
 511,+1, 1519, 5319,511.29142,    NaN,563.82081,    NaN,    NaN, 0.74391
 511,+1, 1534, 5319,511.29434,    NaN,563.78534,    NaN,    NaN, 1.29011
 511,+1, 1550, 5319,511.29725,    NaN,563.88249,    NaN,    NaN,-0.71615
 511,+1, 1565, 5319,511.30017,    NaN,563.84808,    NaN,    NaN,-0.80900
 511,+1, 1581, 5319,511.30308,    NaN,563.80011,    NaN,    NaN, 0.06572
 511,+1, 1596, 5319,511.30600,    NaN,563.90889,    NaN,    NaN, 0.31530
 511,+1, 1612, 5319,511.30891,    NaN,563.85222,    NaN,    NaN, 0.02109
 511,+1, 1627, 5319,511.31182,    NaN,563.84424,    NaN,    NaN,-0.12861
 511,+1, 1643, 5319,511.31474,    NaN,563.84600,    NaN,    NaN, 0.31183
 511,+1, 1658, 5319,511.31765,    NaN,563.84989,    NaN,    NaN, 0.16975
 511,+1, 1674, 5319,511.32057,    NaN,563.85876,    NaN,    NaN,-0.02588
 511,+1, 1689, 5319,511.32348,    NaN,563.84516,    NaN,    NaN,-0.17848
 511,+1, 1705, 5319,511.32640,    NaN,563.90330,    NaN,    NaN,-0.13277
 511,+1, 1720, 5319,511.32931,    NaN,563.87318,    NaN,    NaN, 0.00256
 511,+1, 1736, 5319,511.33222,    NaN,563.85834,    NaN,    NaN,-0.14102
 511,+1, 1751, 5319,511.33514,    NaN,563.85808,    NaN,    NaN,-0.01344
 511,+1, 1767, 5319,511.33805,    NaN,563.85577,    NaN,    NaN, 0.10271
