mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 520,+1,    0, 5431,520.00571,    NaN,548.01281,    NaN,    NaN, 0.09220
 520,+1,   15, 5431,520.00856,    NaN,548.01973,    NaN,    NaN, 0.07361
 520,+1,   31, 5431,520.01142,    NaN,548.09150,    NaN,    NaN, 0.09819
 520,+1,   46, 5431,520.01427,    NaN,548.08492,    NaN,    NaN,-0.07978
 520,+1,   62, 5431,520.01712,    NaN,548.09649,    NaN,    NaN,-0.20179
 520,+1,   77, 5431,520.01998,    NaN,548.17718,    NaN,    NaN,-0.12145
 520,+1,   93, 5431,520.02283,    NaN,548.13867,    NaN,    NaN, 0.10043
 520,+1,  108, 5431,520.02569,    NaN,548.13183,    NaN,    NaN,-0.05513
 520,+1,  124, 5431,520.02854,    NaN,548.13104,    NaN,    NaN,-0.04075
 520,+1,  139, 5431,520.03139,    NaN,548.12749,    NaN,    NaN, 0.31432
 520,+1,  155, 5431,520.03425,    NaN,548.14942,    NaN,    NaN,-0.05019
 520,+1,  170, 5431,520.03710,    NaN,548.13902,    NaN,    NaN,-0.39328
 520,+1,  186, 5431,520.03996,    NaN,548.10885,    NaN,    NaN,-0.02297
 520,+1,  201, 5431,520.04281,    NaN,548.16840,    NaN,    NaN, 0.31204
 520,+1,  217, 5431,520.04567,    NaN,548.12440,    NaN,    NaN, 0.07831
 520,+1,  232, 5431,520.04852,    NaN,548.13398,    NaN,    NaN,-0.27047
 520,+1,  248, 5431,520.05137,    NaN,548.14303,    NaN,    NaN,-0.08334
 520,+1,  263, 5431,520.05423,    NaN,548.16104,    NaN,    NaN, 0.17414
 520,+1,  279, 5431,520.05708,    NaN,548.17562,    NaN,    NaN,-0.00893
 520,+1,  294, 5431,520.05994,    NaN,548.17640,    NaN,    NaN,-0.32444
 520,+1,  310, 5431,520.06279,    NaN,548.15527,    NaN,    NaN, 0.15735
 520,+1,  325, 5431,520.06564,    NaN,548.18485,    NaN,    NaN, 0.19107
 520,+1,  341, 5431,520.06850,    NaN,548.20821,    NaN,    NaN,-0.25712
 520,+1,  356, 5431,520.07135,    NaN,548.21848,    NaN,    NaN, 0.02814
 520,+1,  372, 5431,520.07421,    NaN,548.20626,    NaN,    NaN, 0.25399
 520,+1,  387, 5431,520.07706,    NaN,548.18600,    NaN,    NaN,-0.29936
 520,+1,  403, 5431,520.07991,    NaN,548.21759,    NaN,    NaN,-0.28102
 520,+1,  418, 5431,520.08277,    NaN,548.21311,    NaN,    NaN, 0.30448
 520,+1,  434, 5431,520.08562,    NaN,548.17625,    NaN,    NaN, 0.29082
 520,+1,  449, 5431,520.08848,    NaN,548.18346,    NaN,    NaN,-0.02345
 520,+1,  465, 5431,520.09133,    NaN,548.13823,    NaN,    NaN,-0.16606
 520,+1,  480, 5431,520.09419,    NaN,548.20734,    NaN,    NaN,-0.20120
 520,+1,  496, 5431,520.09704,    NaN,548.28539,    NaN,    NaN, 0.10148
 520,+1,  511, 5431,520.09989,    NaN,548.22282,    NaN,    NaN, 0.20819
 520,+1,  527, 5431,520.10275,    NaN,548.20016,    NaN,    NaN,-0.41576
 520,+1,  542, 5431,520.10560,    NaN,548.19591,    NaN,    NaN,-0.06103
 520,+1,  558, 5431,520.10846,    NaN,548.20768,    NaN,    NaN, 0.68603
 520,+1,  573, 5431,520.11131,    NaN,548.21451,    NaN,    NaN,-0.03019
