brb2rusABCD,Y:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
mp494_C,MP,+38.411248602,-82.263075459,480.024,13950759.269,1278625.266,581.737,6.995,08:49:25 14 Feb 2010,0.000,0.000,0.000,0.037,0.054,0.005,,,,7,8
mp495_C,MP,+38.413062760,-82.291945746,478.572,13951534.317,1270364.663,580.254,6.995,09:28:53 14 Feb 2010,0.000,0.000,0.000,0.037,0.054,0.005,,,,7,13
mp496_C,MP,+38.426018001,-82.300633368,474.560,13956285.827,1267942.707,576.251,6.995,09:38:42 14 Feb 2010,0.000,0.000,0.000,0.038,0.054,0.005,,,,6,12
mp497_C,MP,+38.428005954,-82.317961888,471.541,13957080.063,1262990.320,573.203,6.995,09:42:37 14 Feb 2010,0.000,0.000,0.000,0.029,0.045,0.003,,,,6,11
mp498_C,MP,+38.423646131,-82.335431351,460.194,13955564.821,1257964.352,561.816,6.995,09:45:47 14 Feb 2010,0.000,0.000,0.000,0.026,0.042,0.003,,,,6,11
mp499_C,MP,+38.418827193,-82.352629738,458.689,13953882.237,1253012.965,560.263,6.995,09:48:57 14 Feb 2010,0.000,0.000,0.000,0.022,0.035,0.003,,,,6,12
mp500_C,MP,+38.417139032,-82.370960376,462.492,13953345.194,1247753.545,564.021,6.995,09:54:35 14 Feb 2010,0.000,0.000,0.000,0.017,0.026,0.002,,,,6,11
mp501_C,MP,+38.419730004,-82.387996051,462.314,13954361.494,1242888.250,563.815,6.995,10:01:18 14 Feb 2010,0.000,0.000,0.000,0.021,0.030,0.003,,,,6,13
mp502_C,MP,+38.422278007,-82.404521065,460.540,13955360.826,1238169.316,562.010,6.995,10:11:46 14 Feb 2010,0.000,0.000,0.000,0.020,0.029,0.003,,,,7,12
mp503_C,MP,+38.419143468,-82.422289747,470.731,13954297.677,1233062.600,572.154,6.995,10:17:02 14 Feb 2010,0.000,0.000,0.000,0.018,0.025,0.002,,,,6,13
