mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 495,+1,    0, 5514,495.00562,    NaN,581.00914,    NaN,    NaN, 5.36345
 495,+1,   15, 5514,495.00843,    NaN,580.91026,    NaN,    NaN, 5.70211
 495,+1,   31, 5514,495.01124,    NaN,580.74588,    NaN,    NaN, 4.90010
 495,+1,   46, 5514,495.01406,    NaN,580.62341,    NaN,    NaN, 5.05648
 495,+1,   62, 5514,495.01687,    NaN,580.43549,    NaN,    NaN, 4.44309
 495,+1,   77, 5514,495.01968,    NaN,580.34391,    NaN,    NaN, 3.02747
 495,+1,   93, 5514,495.02249,    NaN,580.39451,    NaN,    NaN, 2.77642
 495,+1,  108, 5514,495.02530,    NaN,580.24398,    NaN,    NaN, 4.03330
 495,+1,  124, 5514,495.02811,    NaN,580.26873,    NaN,    NaN, 3.74540
 495,+1,  139, 5514,495.03092,    NaN,580.20827,    NaN,    NaN, 2.55606
 495,+1,  155, 5514,495.03373,    NaN,580.15486,    NaN,    NaN, 2.26756
 495,+1,  170, 5514,495.03654,    NaN,580.15031,    NaN,    NaN, 2.14485
 495,+1,  186, 5514,495.03936,    NaN,580.09611,    NaN,    NaN, 1.10459
 495,+1,  201, 5514,495.04217,    NaN,580.14081,    NaN,    NaN, 1.70216
 495,+1,  217, 5514,495.04498,    NaN,580.11448,    NaN,    NaN, 2.85920
 495,+1,  232, 5514,495.04779,    NaN,580.01739,    NaN,    NaN, 2.36729
 495,+1,  248, 5514,495.05060,    NaN,580.02815,    NaN,    NaN, 1.63981
 495,+1,  263, 5514,495.05341,    NaN,580.01362,    NaN,    NaN, 1.83866
 495,+1,  279, 5514,495.05622,    NaN,579.93371,    NaN,    NaN, 2.45965
 495,+1,  294, 5514,495.05903,    NaN,579.95883,    NaN,    NaN, 2.68004
 495,+1,  310, 5514,495.06185,    NaN,579.93400,    NaN,    NaN, 2.08535
 495,+1,  325, 5514,495.06466,    NaN,579.94841,    NaN,    NaN, 1.62398
 495,+1,  341, 5514,495.06747,    NaN,579.85077,    NaN,    NaN, 0.90068
 495,+1,  356, 5514,495.07028,    NaN,579.86393,    NaN,    NaN, 1.20457
 495,+1,  372, 5514,495.07309,    NaN,579.90532,    NaN,    NaN, 3.02598
 495,+1,  387, 5514,495.07590,    NaN,579.73659,    NaN,    NaN, 2.97696
 495,+1,  403, 5514,495.07871,    NaN,579.64360,    NaN,    NaN, 2.46878
 495,+1,  418, 5514,495.08152,    NaN,579.68479,    NaN,    NaN, 2.22606
 495,+1,  434, 5514,495.08433,    NaN,579.67422,    NaN,    NaN, 1.63128
 495,+1,  449, 5514,495.08715,    NaN,579.73107,    NaN,    NaN, 1.45721
 495,+1,  465, 5514,495.08996,    NaN,579.55450,    NaN,    NaN, 2.25993
 495,+1,  480, 5514,495.09277,    NaN,579.42616,    NaN,    NaN, 2.26699
 495,+1,  496, 5514,495.09558,    NaN,579.36444,    NaN,    NaN, 2.42847
 495,+1,  511, 5514,495.09839,    NaN,579.26324,    NaN,    NaN, 3.19489
 495,+1,  527, 5514,495.10120,    NaN,579.00557,    NaN,    NaN, 1.98225
 495,+1,  542, 5514,495.10401,    NaN,579.13681,    NaN,    NaN, 1.00697
 495,+1,  558, 5514,495.10682,    NaN,579.17371,    NaN,    NaN, 2.34337
 495,+1,  573, 5514,495.10963,    NaN,579.20570,    NaN,    NaN, 2.91340
 495,+1,  589, 5514,495.11245,    NaN,579.09449,    NaN,    NaN, 2.45322
 495,+1,  604, 5514,495.11526,    NaN,579.04817,    NaN,    NaN, 2.00754
 495,+1,  620, 5514,495.11807,    NaN,579.29542,    NaN,    NaN, 2.02951
 495,+1,  635, 5514,495.12088,    NaN,578.75392,    NaN,    NaN, 2.85622
 495,+1,  651, 5514,495.12369,    NaN,579.65350,    NaN,    NaN, 1.70615
 495,+1,  666, 5514,495.12650,    NaN,579.33792,    NaN,    NaN, 2.24973
 495,+1,  682, 5514,495.12931,    NaN,578.87621,    NaN,    NaN, 2.94639
 495,+1,  697, 5514,495.13212,    NaN,578.62360,    NaN,    NaN, 2.15429
 495,+1,  713, 5514,495.13493,    NaN,578.66341,    NaN,    NaN, 1.90794
 495,+1,  728, 5514,495.13774,    NaN,578.56830,    NaN,    NaN, 2.36615
 495,+1,  744, 5514,495.14055,    NaN,578.47185,    NaN,    NaN, 2.47075
