brb2rusABCD,X:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
mp513c_D,MP,+38.404229253,-82.598191067,470.427,13949693.241,1182586.099,571.262,6.995,11:01:25 14 Feb 2010,0.000,0.000,0.000,0.038,0.051,0.005,,,,0,0
mp514c_D,MP,+38.418348797,-82.599801363,449.501,13954841.792,1182213.973,557.631,6.995,00:00:00 14 Feb 2010,0.000,0.000,0.000,0.000,0.000,0.000,,,,0,0
mp515c_D,MP,+38.432203581,-82.604419281,447.814,13959908.954,1180979.071,555.957,6.995,00:00:00 14 Feb 2010,0.000,0.000,0.000,0.000,0.000,0.000,,,,0,0
mp516_D,MP,+38.445628853,-82.610937944,445.995,13964832.074,1179196.655,550.011,6.995,16:26:02 3 Mar 2010,0.000,0.000,0.000,0.035,0.054,0.006,,,,7,16
mp517_D,MP,+38.459368025,-82.612902093,447.431,13969844.023,1178721.864,551.472,6.995,16:32:24 3 Mar 2010,0.000,0.000,0.000,0.030,0.044,0.004,,,,5,14
mp518_D,MP,+38.472065143,-82.622260610,447.006,13974513.814,1176124.256,551.044,6.995,16:34:48 3 Mar 2010,0.000,0.000,0.000,0.033,0.051,0.005,,,,6,15
mp519_D,MP,+38.480934860,-82.638896981,445.407,13977827.419,1171420.106,549.409,6.995,16:38:50 3 Mar 2010,0.000,0.000,0.000,0.029,0.044,0.005,,,,6,15
mp520_D,MP,+38.488149364,-82.653749366,444.150,13980530.095,1167216.783,548.116,6.995,16:41:17 3 Mar 2010,0.000,0.000,0.000,0.027,0.041,0.005,,,,6,15
mp521_D,MP,+38.496200124,-82.669430347,443.952,13983542.234,1162782.749,547.880,6.995,16:45:32 3 Mar 2010,0.000,0.000,0.000,0.038,0.065,0.006,,,,6,9
mp522_D,MP,+38.507919001,-82.679541297,444.758,13987861.510,1159967.642,548.679,6.995,16:48:21 3 Mar 2010,0.000,0.000,0.000,0.039,0.055,0.005,,,,6,14
mp523_D,MP,+38.521046817,-82.685048373,449.671,13992669.933,1158479.745,553.609,6.995,16:51:19 3 Mar 2010,0.000,0.000,0.000,0.031,0.049,0.005,,,,6,13
