mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 210,-1,    0, 5286,209.99414,    NaN,555.48717,    NaN,    NaN,-0.68494
 210,-1,   15, 5286,209.99120,    NaN,555.49084,    NaN,    NaN, 0.31660
 210,-1,   31, 5286,209.98827,    NaN,555.48851,    NaN,    NaN, 0.38790
 210,-1,   46, 5286,209.98534,    NaN,555.37557,    NaN,    NaN,-0.01627
 210,-1,   62, 5286,209.98241,    NaN,555.40923,    NaN,    NaN,-0.45418
 210,-1,   77, 5286,209.97947,    NaN,555.38129,    NaN,    NaN,-0.25965
 210,-1,   93, 5286,209.97654,    NaN,555.36707,    NaN,    NaN, 0.16005
 210,-1,  108, 5286,209.97361,    NaN,555.37684,    NaN,    NaN, 0.65602
 210,-1,  124, 5286,209.97068,    NaN,555.32964,    NaN,    NaN, 0.64888
 210,-1,  139, 5286,209.96774,    NaN,555.34235,    NaN,    NaN, 0.11572
 210,-1,  155, 5286,209.96481,    NaN,555.32406,    NaN,    NaN,-0.50076
 210,-1,  170, 5286,209.96188,    NaN,555.40395,    NaN,    NaN,-0.69067
 210,-1,  186, 5286,209.95895,    NaN,555.34750,    NaN,    NaN, 0.75453
 210,-1,  201, 5286,209.95602,    NaN,555.26974,    NaN,    NaN, 0.77729
 210,-1,  217, 5286,209.95308,    NaN,555.31262,    NaN,    NaN,-0.80897
 210,-1,  232, 5286,209.95015,    NaN,555.05415,    NaN,    NaN,-0.90935
 210,-1,  248, 5286,209.94722,    NaN,555.12607,    NaN,    NaN, 0.36702
 210,-1,  263, 5286,209.94429,    NaN,555.17477,    NaN,    NaN, 0.43443
 210,-1,  279, 5286,209.94135,    NaN,555.27586,    NaN,    NaN, 0.16554
 210,-1,  294, 5286,209.93842,    NaN,555.30593,    NaN,    NaN, 0.15421
 210,-1,  310, 5286,209.93549,    NaN,555.33599,    NaN,    NaN,-0.17695
 210,-1,  325, 5286,209.93256,    NaN,555.31606,    NaN,    NaN,-0.28136
 210,-1,  341, 5286,209.92962,    NaN,555.34612,    NaN,    NaN,-0.25237
 210,-1,  356, 5286,209.92669,    NaN,555.32360,    NaN,    NaN, 0.07756
 210,-1,  372, 5286,209.92376,    NaN,555.37717,    NaN,    NaN, 0.08332
 210,-1,  387, 5286,209.92083,    NaN,555.36038,    NaN,    NaN,-0.24196
 210,-1,  403, 5286,209.91789,    NaN,555.37894,    NaN,    NaN, 0.20722
 210,-1,  418, 5286,209.91496,    NaN,555.38823,    NaN,    NaN, 0.38114
 210,-1,  434, 5286,209.91203,    NaN,555.41768,    NaN,    NaN,-0.24037
 210,-1,  449, 5286,209.90910,    NaN,555.48223,    NaN,    NaN,-0.49581
 210,-1,  465, 5286,209.90616,    NaN,555.58254,    NaN,    NaN,-0.10657
 210,-1,  480, 5286,209.90323,    NaN,555.60795,    NaN,    NaN, 0.64910
 210,-1,  496, 5286,209.90030,    NaN,555.65213,    NaN,    NaN, 0.07886
 210,-1,  511, 5286,209.89737,    NaN,555.68954,    NaN,    NaN,-0.71458
