Htn2PksFeb09,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PksFeb09,
UTM,17 North,NAD 1983 (Conus),Geoid03CONUS
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
mp94,MP,+39.264181786,-81.568854807,514.521,14259315.223,1479411.087,627.068,7.461,17:53:06 19 Feb 2009,0.000,0.000,0.000,0.042,0.069,0.001,,,,3,7
mp95,MP,+39.265540436,-81.586687791,517.156,14259842.119,1474366.908,629.737,7.461,17:49:22 19 Feb 2009,0.339,1.001,0.298,7.860,9.845,0.606,,,,3,4
mp96,MP,+39.266641625,-81.605277930,486.047,14260277.701,1469107.998,598.661,7.461,17:45:35 19 Feb 2009,0.130,1.050,0.254,5.178,10.587,0.607,,,,4,5
mp97,MP,+39.268139195,-81.623790674,494.768,14260858.535,1463872.149,607.414,7.461,17:42:28 19 Feb 2009,0.048,0.116,0.505,4.705,6.536,,,,,6,4
mp98,MP,+39.269015145,-81.642243771,499.785,14261213.991,1458651.794,612.456,7.461,17:39:10 19 Feb 2009,0.044,0.590,0.271,3.769,8.569,0.602,,,,9,4
mp99,MP,+39.269246403,-81.660290260,520.154,14261334.940,1453544.929,632.849,7.461,17:36:03 19 Feb 2009,0.000,0.000,0.000,0.034,0.077,0.001,,,,3,4



mp103,MP,+39.220084272,-81.690047649,491.673,14243497.914,1444986.687,604.299,7.461,17:22:01 19 Feb 2009,0.000,0.000,0.000,0.077,0.033,0.006,,,,3,5
mp104,MP,+39.216649146,-81.709463691,487.106,14242289.662,1439477.976,599.740,7.461,17:18:41 19 Feb 2009,0.000,0.000,0.000,0.035,0.061,0.001,,,,3,4
mp105,MP,+39.210018710,-81.723066611,489.956,14239905.994,1435605.970,602.583,7.461,17:15:55 19 Feb 2009,0.028,0.392,0.119,4.514,5.649,0.611,,,,9,4
mp106,MP,+39.196179077,-81.731015128,487.362,14234885.096,1433313.867,599.965,7.461,17:12:34 19 Feb 2009,0.001,0.012,0.003,0.420,1.269,0.000,,,,6,5
