Htn2PksFeb09,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PksFeb09,
UTM,17 North,NAD 1983 (Conus),Geoid03CONUS
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
100_A,LRdot,+38.428995042,-82.376706112,441.188,13957688.825,1246171.196,550.004,7.461,09:59:13 18 Feb 2009,,,,0.046,0.071,0.003,,,,1,6
101_A,LRdot,+38.429003766,-82.376682008,441.237,13957691.898,1246178.146,550.053,7.461,09:59:18 18 Feb 2009,,,,0.033,0.051,0.002,,,,1,6
102_A,LRdot,+38.429011293,-82.376661386,441.239,13957694.550,1246184.093,550.055,7.461,09:59:19 18 Feb 2009,,,,0.018,0.028,0.003,,,,1,6
103_A,LRdot,+38.429021210,-82.376633853,441.260,13957698.043,1246192.032,550.076,7.461,09:59:20 18 Feb 2009,,,,0.031,0.047,0.002,,,,1,6
104_A,LRdot,+38.429032940,-82.376601515,441.314,13957702.175,1246201.357,550.130,7.461,09:59:21 18 Feb 2009,,,,0.024,0.038,0.003,,,,1,6
105_A,LRdot,+38.429045615,-82.376566920,441.319,13957706.641,1246211.333,550.135,7.461,09:59:22 18 Feb 2009,,,,0.019,0.032,0.002,,,,1,5
106_A,LRdot,+38.429059452,-82.376528887,441.323,13957711.516,1246222.300,550.139,7.461,09:59:23 18 Feb 2009,,,,0.024,0.039,0.001,,,,1,5
107_A,LRdot,+38.429074746,-82.376487257,441.210,13957716.906,1246234.306,550.027,7.461,09:59:24 18 Feb 2009,,,,0.022,0.037,0.002,,,,1,5
108_A,LRdot,+38.429091003,-82.376442510,441.245,13957722.633,1246247.209,550.061,7.461,09:59:25 18 Feb 2009,,,,0.060,0.099,0.002,,,,1,5
109_A,LRdot,+38.429108021,-82.376395598,441.294,13957728.628,1246260.736,550.111,7.461,09:59:26 18 Feb 2009,,,,0.092,0.152,0.004,,,,1,5
110_A,LRdot,+38.429125250,-82.376348326,441.270,13957734.699,1246274.367,550.086,7.461,09:59:27 18 Feb 2009,,,,0.023,0.038,0.006,,,,1,5
111_A,LRdot,+38.429142320,-82.376301591,441.288,13957740.714,1246287.844,550.105,7.461,09:59:28 18 Feb 2009,,,,0.029,0.047,0.002,,,,1,5
112_A,LRdot,+38.429159802,-82.376253458,441.335,13957746.872,1246301.723,550.152,7.461,09:59:29 18 Feb 2009,,,,0.028,0.047,0.002,,,,1,5
113_A,LRdot,+38.429177951,-82.376203943,441.300,13957753.268,1246316.002,550.117,7.461,09:59:30 18 Feb 2009,,,,0.018,0.029,0.002,,,,1,5
114_A,LRdot,+38.429195927,-82.376154498,441.362,13957759.601,1246330.260,550.179,7.461,09:59:31 18 Feb 2009,,,,0.021,0.035,0.001,,,,1,5
115_A,LRdot,+38.429213496,-82.376106400,441.360,13957765.792,1246344.130,550.177,7.461,09:59:32 18 Feb 2009,,,,0.020,0.032,0.001,,,,1,5
116_A,LRdot,+38.429230576,-82.376059498,441.362,13957771.809,1246357.654,550.180,7.461,09:59:33 18 Feb 2009,,,,0.058,0.096,0.001,,,,1,5
117_A,LRdot,+38.429247936,-82.376012083,441.384,13957777.927,1246371.328,550.201,7.461,09:59:34 18 Feb 2009,,,,0.052,0.085,0.004,,,,1,5
118_A,LRdot,+38.429265753,-82.375963224,441.440,13957784.204,1246385.417,550.258,7.461,09:59:35 18 Feb 2009,,,,0.036,0.059,0.004,,,,1,5
