Htn2PPmay09
UTM,17 North,(WGS 84),Geoid03
feet,
PointID,FC,Latitude,Longitude,ElHt,Northing,Easting,Elevation,AntHt,dateTime,DeltaX,DeltaY,DeltaZ,hPrec,vPrec,RMS, MaxPDOP , MaxHDOP , MaxVDOP ,NbrGPSpos,MinSats
952,LR,+38.43698,-82.34237,444.366,13960452.48,1256045.73,553.269,7.738,5/19/09 9:51,22937.809,6408.249,3897.667,0.033,0.043,0.004,1.507,0.913,1.198,1,13
953,LR,+38.43699,-82.34233,444.463,13960453.93,1256057.054,553.366,7.738,5/19/09 9:51,22948.89,6410.672,3898.989,0.029,0.04,0.003,1.788,1.043,1.453,1,12
954,LR,+38.43699,-82.34230,444.647,13960455.42,1256068.188,553.55,7.738,5/19/09 9:51,22959.787,6413.034,3900.404,0.03,0.041,0.003,1.788,1.043,1.453,1,12
955,LR,+38.43700,-82.34226,444.651,13960457.08,1256079.408,553.555,7.738,5/19/09 9:51,22970.733,6415.643,3901.832,0.03,0.041,0.003,1.788,1.043,1.453,1,12
956,LR,+38.43700,-82.34221,444.595,13960458.79,1256092.268,553.499,7.738,5/19/09 9:51,22983.293,6418.567,3903.285,0.033,0.046,0.003,1.788,1.043,1.453,1,12
957,LR,+38.43701,-82.34217,444.72,13960460.19,1256102.803,553.624,7.738,5/19/09 9:51,22993.6,6420.827,3904.577,0.037,0.042,0.003,1.94,1.285,1.454,1,11
958,LR,+38.43701,-82.34214,444.771,13960461.73,1256113.863,553.675,7.738,5/19/09 9:51,23004.405,6423.309,3905.944,0.037,0.042,0.003,1.94,1.285,1.454,1,11
959,LR,+38.43702,-82.34210,444.686,13960463.35,1256125.404,553.59,7.738,5/19/09 9:51,23015.664,6426.011,3907.291,0.039,0.042,0.003,1.999,1.369,1.457,1,10
960,LR,+38.43702,-82.34205,444.651,13960464.93,1256137.29,553.555,7.738,5/19/09 9:51,23027.274,6428.7,3908.643,0.028,0.041,0.002,2.702,1.516,2.236,1,8
961,LR,+38.43703,-82.34201,444.675,13960466.6,1256149.665,553.58,7.738,5/19/09 9:51,23039.365,6431.469,3910.111,0.028,0.041,0.002,2.702,1.516,2.236,1,8
962,LR,+38.43703,-82.34197,444.628,13960468.29,1256162.547,553.532,7.738,5/19/09 9:51,23051.95,6434.374,3911.548,0.044,0.043,0.004,1.74,1.243,1.217,1,10
963,LR,+38.43704,-82.34192,444.677,13960470.26,1256176.195,553.582,7.738,5/19/09 9:51,23065.275,6437.487,3913.278,0.044,0.043,0.004,1.74,1.243,1.217,1,10
964,LR,+38.43704,-82.34187,444.487,13960471.85,1256190.59,553.391,7.738,5/19/09 9:51,23079.352,6440.658,3914.567,0.045,0.044,0.004,1.74,1.243,1.217,1,10
965,LR,+38.43705,-82.34182,444.54,13960473.8,1256205.166,553.445,7.738,5/19/09 9:51,23093.598,6443.891,3916.299,0.04,0.052,0.003,2.197,1.336,1.744,1,9
966,LR,+38.43705,-82.34178,444.623,13960475.24,1256215.238,553.527,7.738,5/19/09 9:51,23103.439,6446.143,3917.591,0.04,0.052,0.003,2.197,1.336,1.744,1,9
967,LR,+38.43706,-82.34175,445.149,13960476.58,1256225.808,554.054,7.738,5/19/09 9:51,23113.827,6448.059,3919.086,0.04,0.052,0.003,2.197,1.336,1.744,1,9
968,LR,+38.43706,-82.34171,445.053,13960478.02,1256236.357,553.957,7.738,5/19/09 9:51,23124.121,6450.519,3920.274,0.043,0.056,0.003,2.612,1.58,2.081,1,8
969,LR,+38.43707,-82.34167,445.12,13960479.49,1256247.086,554.025,7.738,5/19/09 9:51,23134.607,6452.898,3921.592,0.043,0.056,0.003,2.612,1.58,2.081,1,8
970,LR,+38.43707,-82.34163,445.107,13960480.89,1256258.117,554.013,7.738,5/19/09 9:51,23145.39,6455.337,3922.807,0.043,0.057,0.003,2.612,1.58,2.081,1,8
971,LR,+38.43708,-82.34159,444.905,13960482.5,1256269.178,553.811,7.738,5/19/09 9:51,23156.163,6458.058,3924.07,0.043,0.057,0.003,2.612,1.58,2.081,1,8
972,LR,+38.43708,-82.34156,445.185,13960484.05,1256280.563,554.091,7.738,5/19/09 9:51,23167.313,6460.41,3925.587,0.043,0.057,0.003,2.612,1.58,2.081,1,8
973,LR,+38.43709,-82.34152,445.08,13960485.57,1256292.127,553.985,7.738,5/19/09 9:51,23178.602,6463.072,3926.846,0.041,0.053,0.003,2.612,1.58,2.08,1,8
974,LR,+38.43709,-82.34147,445.165,13960487.25,1256303.802,554.071,7.738,5/19/09 9:51,23190.006,6465.698,3928.348,0.041,0.053,0.003,2.612,1.58,2.08,1,8
975,LR,+38.43710,-82.34143,445.088,13960488.84,1256315.627,553.994,7.738,5/19/09 9:51,23201.551,6468.416,3929.679,0.053,0.057,0.003,2.554,1.736,1.873,1,7
976,LR,+38.43710,-82.34139,444.913,13960490.5,1256327.579,553.819,7.738,5/19/09 9:51,23213.204,6471.272,3931.007,0.053,0.057,0.003,2.554,1.736,1.873,1,7
977,LR,+38.43711,-82.34135,444.961,13960492.15,1256339.63,553.867,7.738,5/19/09 9:51,23224.979,6473.965,3932.469,0.053,0.057,0.003,2.554,1.736,1.873,1,7
978,LR,+38.43711,-82.34131,444.934,13960493.75,1256351.729,553.841,7.738,5/19/09 9:51,23236.798,6476.69,3933.845,0.057,0.062,0.003,2.554,1.736,1.873,1,7
979,LR,+38.43712,-82.34127,444.978,13960495.4,1256363.833,553.884,7.738,5/19/09 9:51,23248.626,6479.389,3935.299,0.057,0.062,0.003,2.554,1.736,1.873,1,7
980,LR,+38.43712,-82.34122,445.065,13960497.08,1256375.94,553.971,7.738,5/19/09 9:51,23260.458,6482.076,3936.807,0.061,0.066,0.004,2.554,1.736,1.873,1,7
981,LR,+38.43713,-82.34118,444.993,13960498.75,1256388.05,553.899,7.738,5/19/09 9:51,23272.277,6484.881,3938.209,0.061,0.066,0.004,2.554,1.736,1.873,1,7
982,LR,+38.43713,-82.34114,445.056,13960500.45,1256400.119,553.963,7.738,5/19/09 9:51,23284.067,6487.592,3939.718,0.061,0.066,0.004,2.554,1.736,1.873,1,7
983,LR,+38.43714,-82.34110,445.008,13960502.08,1256412.093,553.915,7.738,5/19/09 9:51,23295.758,6490.333,3941.099,0.063,0.068,0.004,2.554,1.736,1.873,1,7
984,LR,+38.43714,-82.34106,444.989,13960503.73,1256423.958,553.896,7.738,5/19/09 9:51,23307.341,6493.052,3942.519,0.063,0.068,0.004,2.554,1.736,1.873,1,7
985,LR,+38.43715,-82.34101,445.062,13960505.32,1256435.699,553.969,7.738,5/19/09 9:51,23318.818,6495.639,3943.94,0.064,0.069,0.004,2.554,1.736,1.873,1,7
986,LR,+38.43715,-82.34097,445.046,13960506.96,1256447.288,553.953,7.738,5/19/09 9:51,23330.131,6498.31,3945.349,0.064,0.069,0.004,2.554,1.736,1.873,1,7
987,LR,+38.43715,-82.34093,444.975,13960508.5,1256458.804,553.882,7.738,5/19/09 9:51,23341.374,6500.949,3946.644,0.064,0.069,0.004,2.554,1.736,1.873,1,7
988,LR,+38.43716,-82.34089,444.992,13960510.03,1256470.166,553.9,7.738,5/19/09 9:51,23352.475,6503.493,3947.984,0.065,0.07,0.004,2.554,1.736,1.873,1,7
989,LR,+38.43716,-82.34086,444.968,13960511.57,1256481.406,553.875,7.738,5/19/09 9:51,23363.451,6506.055,3949.301,0.065,0.07,0.004,2.554,1.736,1.873,1,7
990,LR,+38.43717,-82.34082,444.994,13960513.1,1256492.573,553.901,7.738,5/19/09 9:51,23374.36,6508.567,3950.646,0.066,0.072,0.004,2.554,1.736,1.873,1,7
991,LR,+38.43717,-82.34078,444.903,13960514.56,1256503.647,553.81,7.738,5/19/09 9:51,23385.173,6511.105,3951.854,0.066,0.072,0.004,2.554,1.736,1.873,1,7
992,LR,+38.43718,-82.34074,444.584,13960516.45,1256514.151,553.491,7.738,5/19/09 9:51,23395.354,6514.009,3953.257,0.066,0.072,0.004,2.554,1.736,1.873,1,7
993,LR,+38.43718,-82.34070,444.641,13960517.96,1256525.01,553.549,7.738,5/19/09 9:51,23405.964,6516.438,3954.601,0.049,0.065,0.004,2.075,1.251,1.656,1,10
994,LR,+38.43719,-82.34067,444.465,13960519.32,1256535.726,553.373,7.738,5/19/09 9:51,23416.422,6518.934,3955.679,0.049,0.065,0.004,2.075,1.251,1.656,1,10
995,LR,+38.43719,-82.34063,444.484,13960520.76,1256546.442,553.392,7.738,5/19/09 9:51,23426.894,6521.327,3956.939,0.052,0.078,0.005,1.838,1.016,1.532,1,11
996,LR,+38.43720,-82.34059,444.51,13960522.24,1256557.143,553.418,7.738,5/19/09 9:51,23437.347,6523.739,3958.236,0.052,0.078,0.005,1.838,1.016,1.532,1,11
997,LR,+38.43720,-82.34055,444.425,13960523.65,1256567.839,553.333,7.738,5/19/09 9:51,23447.79,6526.196,3959.415,0.052,0.078,0.005,1.838,1.016,1.532,1,11
998,LR,+38.43721,-82.34052,444.449,13960525.11,1256578.512,553.357,7.738,5/19/09 9:51,23458.216,6528.591,3960.693,0.05,0.064,0.004,2.299,1.416,1.812,1,9
999,LR,+38.43721,-82.34048,444.481,13960526.53,1256589.159,553.39,7.738,5/19/09 9:51,23468.622,6530.954,3961.949,0.05,0.064,0.004,2.299,1.416,1.812,1,9
1000,LR,+38.43721,-82.34044,444.453,13960527.97,1256599.675,553.362,7.738,5/19/09 9:51,23478.89,6533.355,3963.177,0.05,0.064,0.004,2.299,1.416,1.812,1,9
1001,LR,+38.43722,-82.34041,444.451,13960529.4,1256610.096,553.36,7.738,5/19/09 9:51,23489.068,6535.717,3964.414,0.041,0.052,0.003,2.299,1.416,1.812,1,9
1002,LR,+38.43722,-82.34037,444.407,13960530.85,1256620.417,553.315,7.738,5/19/09 9:51,23499.14,6538.112,3965.642,0.041,0.052,0.003,2.299,1.416,1.812,1,9
1003,LR,+38.43723,-82.34034,444.461,13960532.25,1256630.635,553.37,7.738,5/19/09 9:51,23509.125,6540.385,3966.891,0.05,0.066,0.003,2.61,1.581,2.077,1,8
1004,LR,+38.43723,-82.34030,444.462,13960533.61,1256640.724,553.371,7.738,5/19/09 9:51,23518.982,6542.651,3968.066,0.05,0.066,0.003,2.61,1.581,2.077,1,8
1005,LR,+38.43724,-82.34027,444.47,13960534.98,1256650.71,553.379,7.738,5/19/09 9:51,23528.735,6544.91,3969.261,0.05,0.066,0.003,2.61,1.581,2.077,1,8
1006,LR,+38.43724,-82.34023,444.661,13960536.44,1256660.608,553.57,7.738,5/19/09 9:51,23538.412,6547.069,3970.64,0.052,0.068,0.003,2.61,1.581,2.077,1,8
1007,LR,+38.43725,-82.34018,444.715,13960538.45,1256675.203,553.624,7.738,5/19/09 9:51,23552.672,6550.338,3972.414,0.052,0.068,0.003,2.61,1.581,2.077,1,8
1008,LR,+38.43725,-82.34013,444.598,13960540.46,1256689.488,553.507,7.738,5/19/09 9:51,23566.607,6553.691,3974.073,0.034,0.048,0.003,1.964,1.133,1.604,1,10
1009,LR,+38.43726,-82.34008,444.528,13960542.34,1256703.534,553.437,7.738,5/19/09 9:51,23580.322,6556.899,3975.662,0.033,0.048,0.003,1.691,0.952,1.398,1,12
1010,LR,+38.43726,-82.34003,444.593,13960544.24,1256717.412,553.502,7.738,5/19/09 9:51,23593.884,6559.992,3977.353,0.033,0.048,0.003,1.691,0.952,1.398,1,12
1011,LR,+38.43727,-82.33999,444.601,13960546.14,1256731.206,553.511,7.738,5/19/09 9:51,23607.356,6563.116,3979.004,0.037,0.056,0.004,1.647,0.904,1.376,1,13
1012,LR,+38.43727,-82.33994,444.586,13960548.06,1256745.091,553.496,7.738,5/19/09 9:51,23620.914,6566.283,3980.658,0.037,0.056,0.004,1.647,0.904,1.376,1,13
1013,LR,+38.43728,-82.33989,444.63,13960549.98,1256759.105,553.54,7.738,5/19/09 9:52,23634.605,6569.422,3982.349,0.029,0.047,0.003,1.784,0.95,1.51,1,12
1014,LR,+38.43729,-82.33984,444.624,13960551.92,1256773.257,553.534,7.738,5/19/09 9:52,23648.427,6572.633,3984.027,0.029,0.047,0.003,1.784,0.95,1.51,1,12
1015,LR,+38.43729,-82.33979,444.608,13960553.93,1256787.52,553.518,7.738,5/19/09 9:52,23662.351,6575.908,3985.753,0.029,0.047,0.003,1.784,0.95,1.51,1,12
1016,LR,+38.43730,-82.33974,444.643,13960555.9,1256801.819,553.553,7.738,5/19/09 9:52,23676.319,6579.127,3987.482,0.033,0.052,0.003,1.784,0.95,1.51,1,12
1017,LR,+38.43730,-82.33969,444.634,13960557.86,1256816.112,553.544,7.738,5/19/09 9:52,23690.277,6582.369,3989.172,0.033,0.052,0.003,1.784,0.95,1.51,1,12
1018,LR,+38.43731,-82.33964,444.618,13960559.84,1256830.448,553.528,7.738,5/19/09 9:52,23704.276,6585.64,3990.88,0.032,0.052,0.003,1.784,0.95,1.51,1,12
1019,LR,+38.43732,-82.33959,444.638,13960561.81,1256844.809,553.549,7.738,5/19/09 9:52,23718.303,6588.876,3992.597,0.032,0.052,0.003,1.784,0.95,1.51,1,12
1020,LR,+38.43732,-82.33954,444.664,13960563.77,1256859.202,553.575,7.738,5/19/09 9:52,23732.366,6592.106,3994.31,0.032,0.052,0.003,1.784,0.95,1.51,1,12
1021,LR,+38.43733,-82.33949,444.749,13960565.76,1256873.709,553.659,7.738,5/19/09 9:52,23746.543,6595.325,3996.085,0.033,0.052,0.004,1.784,0.95,1.51,1,12
1022,LR,+38.43733,-82.33944,444.749,13960567.79,1256888.347,553.66,7.738,5/19/09 9:52,23760.837,6598.657,3997.846,0.033,0.052,0.004,1.784,0.95,1.51,1,12
1023,LR,+38.43734,-82.33939,444.813,13960569.82,1256903.036,553.724,7.738,5/19/09 9:52,23775.188,6601.946,3999.644,0.036,0.057,0.004,1.784,0.95,1.51,1,12
1024,LR,+38.43735,-82.33933,444.79,13960571.91,1256917.759,553.701,7.738,5/19/09 9:52,23789.558,6605.341,4001.435,0.034,0.052,0.004,1.646,0.904,1.375,1,13
1025,LR,+38.43735,-82.33928,444.813,13960573.94,1256932.479,553.724,7.738,5/19/09 9:52,23803.937,6608.666,4003.208,0.034,0.052,0.004,1.646,0.904,1.375,1,13
1026,LR,+38.43736,-82.33923,444.83,13960575.97,1256947.141,553.741,7.738,5/19/09 9:52,23818.257,6611.984,4004.974,0.034,0.051,0.004,1.646,0.904,1.375,1,13
1027,LR,+38.43737,-82.33918,444.864,13960578.02,1256961.753,553.775,7.738,5/19/09 9:52,23832.527,6615.299,4006.77,0.034,0.051,0.004,1.646,0.904,1.375,1,13
1028,LR,+38.43737,-82.33913,444.944,13960580.01,1256976.392,553.855,7.738,5/19/09 9:52,23846.835,6618.539,4008.542,0.034,0.051,0.004,1.645,0.904,1.375,1,13
1029,LR,+38.43738,-82.33908,444.928,13960582.08,1256991.218,553.84,7.738,5/19/09 9:52,23861.31,6621.932,4010.322,0.031,0.047,0.003,1.645,0.904,1.375,1,13
1030,LR,+38.43738,-82.33904,444.964,13960583.45,1257001.18,553.875,7.738,5/19/09 9:52,23871.042,6624.164,4011.532,0.031,0.047,0.003,1.645,0.904,1.375,1,13
1031,LR,+38.43739,-82.33901,444.989,13960584.83,1257011.178,553.9,7.738,5/19/09 9:52,23880.809,6626.417,4012.745,0.031,0.047,0.003,1.645,0.904,1.375,1,13
1032,LR,+38.43739,-82.33897,444.996,13960586.2,1257021.166,553.908,7.738,5/19/09 9:52,23890.565,6628.672,4013.935,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1033,LR,+38.43739,-82.33894,445.026,13960587.6,1257031.152,553.938,7.738,5/19/09 9:52,23900.319,6630.926,4015.159,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1034,LR,+38.43740,-82.33890,445.04,13960589.03,1257041.199,553.952,7.738,5/19/09 9:52,23910.127,6633.226,4016.406,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1035,LR,+38.43740,-82.33887,445.067,13960590.47,1257051.275,553.979,7.738,5/19/09 9:52,23919.965,6635.521,4017.663,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1036,LR,+38.43741,-82.33883,445.015,13960591.93,1257061.479,553.927,7.738,5/19/09 9:52,23929.92,6637.912,4018.893,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1037,LR,+38.43741,-82.33880,445.076,13960593.41,1257071.775,553.988,7.738,5/19/09 9:52,23939.976,6640.238,4020.206,0.036,0.057,0.004,1.783,0.95,1.509,1,12
1038,LR,+38.43742,-82.33876,445.084,13960594.96,1257082.156,553.997,7.738,5/19/09 9:52,23950.102,6642.665,4021.549,0.036,0.057,0.004,1.783,0.95,1.509,1,12
1039,LR,+38.43742,-82.33873,445.053,13960596.56,1257092.645,553.966,7.738,5/19/09 9:52,23960.328,6645.162,4022.899,0.029,0.047,0.003,1.783,0.95,1.509,1,12
1040,LR,+38.43743,-82.33869,445.067,13960598.15,1257103.212,553.979,7.738,5/19/09 9:52,23970.637,6647.629,4024.27,0.029,0.047,0.003,1.783,0.95,1.509,1,12
