Htn2PP19May09,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PP19May09,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
100_C,LR,+38.428819642,-82.377186372,441.257,13957627.022,1246032.705,550.071,7.461,09:42:50 19 May 2009,,,,0.031,0.051,0.004,,,,1,16
101_C,LR,+38.428831552,-82.377154045,441.243,13957631.220,1246042.027,550.058,7.461,09:42:53 19 May 2009,,,,0.026,0.043,0.004,,,,1,16
102_C,LR,+38.428844641,-82.377117951,441.216,13957635.831,1246052.435,550.031,7.461,09:42:55 19 May 2009,,,,0.029,0.048,0.004,,,,1,16
103_C,LR,+38.428856698,-82.377084841,441.247,13957640.079,1246061.983,550.062,7.461,09:42:56 19 May 2009,,,,0.031,0.051,0.005,,,,1,16
104_C,LR,+38.428868792,-82.377051756,441.242,13957644.340,1246071.523,550.057,7.461,09:42:57 19 May 2009,,,,0.031,0.051,0.005,,,,1,16
105_C,LR,+38.428882324,-82.377014834,441.249,13957649.109,1246082.171,550.064,7.461,09:42:58 19 May 2009,,,,0.031,0.051,0.005,,,,1,16
106_C,LR,+38.428893887,-82.376983142,441.239,13957653.183,1246091.310,550.054,7.461,09:43:00 19 May 2009,,,,0.028,0.048,0.004,,,,1,15
107_C,LR,+38.428905782,-82.376950448,441.258,13957657.374,1246100.737,550.073,7.461,09:43:00 19 May 2009,,,,0.028,0.048,0.004,,,,1,15
108_C,LR,+38.428918045,-82.376916824,441.268,13957661.694,1246110.433,550.083,7.461,09:43:01 19 May 2009,,,,0.029,0.049,0.004,,,,1,15
109_C,LR,+38.428930187,-82.376883435,441.250,13957665.972,1246120.061,550.065,7.461,09:43:01 19 May 2009,,,,0.029,0.049,0.004,,,,1,15
110_C,LR,+38.428941916,-82.376850879,441.247,13957670.103,1246129.449,550.062,7.461,09:43:02 19 May 2009,,,,0.026,0.043,0.003,,,,1,15
111_C,LR,+38.428953470,-82.376818984,441.270,13957674.173,1246138.646,550.086,7.461,09:43:04 19 May 2009,,,,0.028,0.046,0.004,,,,1,15
112_C,LR,+38.428965234,-82.376787187,441.273,13957678.320,1246147.816,550.088,7.461,09:43:04 19 May 2009,,,,0.027,0.046,0.004,,,,1,15
113_C,LR,+38.428976946,-82.376755058,441.278,13957682.446,1246157.080,550.093,7.461,09:43:05 19 May 2009,,,,0.028,0.047,0.004,,,,1,15
114_C,LR,+38.428988735,-82.376722613,441.299,13957686.599,1246166.436,550.114,7.461,09:43:05 19 May 2009,,,,0.028,0.047,0.004,,,,1,15
115_C,LR,+38.429000592,-82.376690071,441.233,13957690.777,1246175.820,550.048,7.461,09:43:06 19 May 2009,,,,0.030,0.049,0.004,,,,1,16
116_C,LR,+38.429012624,-82.376657062,441.210,13957695.016,1246185.339,550.026,7.461,09:43:07 19 May 2009,,,,0.027,0.044,0.004,,,,1,16
117_C,LR,+38.429025049,-82.376622784,441.265,13957699.393,1246195.223,550.081,7.461,09:43:08 19 May 2009,,,,0.030,0.048,0.004,,,,1,15
118_C,LR,+38.429038032,-82.376587243,441.246,13957703.968,1246205.472,550.062,7.461,09:43:09 19 May 2009,,,,0.025,0.040,0.003,,,,1,15
119_C,LR,+38.429051380,-82.376550535,441.276,13957708.670,1246216.057,550.092,7.461,09:43:09 19 May 2009,,,,0.025,0.040,0.003,,,,1,15
120_C,LR,+38.429065154,-82.376512471,441.286,13957713.522,1246227.033,550.103,7.461,09:43:11 19 May 2009,,,,0.028,0.045,0.004,,,,1,15
121_C,LR,+38.429079471,-82.376473178,441.311,13957718.566,1246238.363,550.127,7.461,09:43:12 19 May 2009,,,,0.030,0.050,0.004,,,,1,14
122_C,LR,+38.429094232,-82.376432954,441.290,13957723.768,1246249.963,550.106,7.461,09:43:13 19 May 2009,,,,0.029,0.049,0.004,,,,1,15
123_C,LR,+38.429109083,-82.376392128,441.287,13957729.000,1246261.735,550.104,7.461,09:43:13 19 May 2009,,,,0.029,0.049,0.004,,,,1,15
124_C,LR,+38.429124012,-82.376351055,441.294,13957734.260,1246273.579,550.111,7.461,09:43:14 19 May 2009,,,,0.024,0.040,0.003,,,,1,15
125_C,LR,+38.429138960,-82.376309956,441.312,13957739.526,1246285.430,550.129,7.461,09:43:15 19 May 2009,,,,0.024,0.040,0.003,,,,1,15
126_C,LR,+38.429154031,-82.376268584,441.281,13957744.836,1246297.360,550.098,7.461,09:43:16 19 May 2009,,,,0.024,0.040,0.003,,,,1,15
127_C,LR,+38.429169334,-82.376226629,441.288,13957750.228,1246309.459,550.105,7.461,09:43:17 19 May 2009,,,,0.026,0.044,0.004,,,,1,15
128_C,LR,+38.429180952,-82.376194744,441.316,13957754.321,1246318.653,550.134,7.461,09:43:17 19 May 2009,,,,0.026,0.044,0.004,,,,1,15
129_C,LR,+38.429192712,-82.376162510,441.329,13957758.465,1246327.948,550.146,7.461,09:43:18 19 May 2009,,,,0.024,0.040,0.003,,,,1,15
130_C,LR,+38.429204684,-82.376129724,441.388,13957762.683,1246337.402,550.205,7.461,09:43:18 19 May 2009,,,,0.024,0.040,0.003,,,,1,15
131_C,LR,+38.429217041,-82.376095763,441.394,13957767.037,1246347.195,550.212,7.461,09:43:19 19 May 2009,,,,0.027,0.046,0.004,,,,1,15
132_C,LR,+38.429229746,-82.376061066,441.359,13957771.514,1246357.201,550.177,7.461,09:43:19 19 May 2009,,,,0.027,0.046,0.004,,,,1,15
133_C,LR,+38.429242395,-82.376026135,441.388,13957775.969,1246367.273,550.205,7.461,09:43:20 19 May 2009,,,,0.025,0.042,0.003,,,,1,15
134_C,LR,+38.429255179,-82.375990941,441.406,13957780.473,1246377.422,550.224,7.461,09:43:21 19 May 2009,,,,0.025,0.043,0.003,,,,1,15
135_C,LR,+38.429268221,-82.375955415,441.395,13957785.070,1246387.666,550.213,7.461,09:43:21 19 May 2009,,,,0.025,0.043,0.003,,,,1,15
136_C,LR,+38.429281307,-82.375919511,441.408,13957789.680,1246398.020,550.226,7.461,09:43:22 19 May 2009,,,,0.030,0.050,0.004,,,,1,15
137_C,LR,+38.429294409,-82.375883358,441.408,13957794.296,1246408.445,550.226,7.461,09:43:22 19 May 2009,,,,0.030,0.050,0.004,,,,1,15
138_C,LR,+38.429307786,-82.375846716,441.389,13957799.009,1246419.011,550.207,7.461,09:43:23 19 May 2009,,,,0.027,0.045,0.004,,,,1,15
139_C,LR,+38.429321460,-82.375809136,441.381,13957803.827,1246429.847,550.199,7.461,09:43:24 19 May 2009,,,,0.027,0.046,0.004,,,,1,15
140_C,LR,+38.429335406,-82.375770790,441.377,13957808.740,1246440.905,550.196,7.461,09:43:24 19 May 2009,,,,0.027,0.046,0.004,,,,1,15
141_C,LR,+38.429349861,-82.375731254,441.430,13957813.833,1246452.305,550.248,7.461,09:43:25 19 May 2009,,,,0.027,0.045,0.004,,,,1,15
