mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 209,-1, 3689, 5322,208.30109,    NaN,555.17883,    NaN,    NaN, 0.78705
 209,-1, 3704, 5322,208.29818,    NaN,555.36199,    NaN,    NaN, 0.97808
 209,-1, 3720, 5322,208.29527,    NaN,555.40969,    NaN,    NaN, 1.00450
 209,-1, 3735, 5322,208.29236,    NaN,555.60717,    NaN,    NaN, 0.77450
 209,-1, 3751, 5322,208.28945,    NaN,555.65376,    NaN,    NaN, 0.86261
 209,-1, 3766, 5322,208.28653,    NaN,555.78536,    NaN,    NaN, 1.40367
 209,-1, 3782, 5322,208.28362,    NaN,555.81904,    NaN,    NaN, 1.44694
 209,-1, 3797, 5322,208.28071,    NaN,555.91655,    NaN,    NaN, 0.80747
 209,-1, 3813, 5322,208.27780,    NaN,556.02814,    NaN,    NaN, 0.73653
 209,-1, 3828, 5322,208.27488,    NaN,556.13679,    NaN,    NaN, 1.21689
 209,-1, 3844, 5322,208.27197,    NaN,556.20808,    NaN,    NaN, 1.12639
 209,-1, 3859, 5322,208.26906,    NaN,556.25905,    NaN,    NaN, 0.96013
 209,-1, 3875, 5322,208.26615,    NaN,556.30853,    NaN,    NaN, 0.98653
 209,-1, 3890, 5322,208.26324,    NaN,556.39667,    NaN,    NaN, 1.23287
 209,-1, 3906, 5322,208.26032,    NaN,556.48771,    NaN,    NaN, 1.56975
 209,-1, 3921, 5322,208.25741,    NaN,556.62080,    NaN,    NaN, 0.98064
 209,-1, 3937, 5322,208.25450,    NaN,556.75608,    NaN,    NaN, 0.91602
 209,-1, 3952, 5322,208.25159,    NaN,556.83041,    NaN,    NaN, 0.98291
 209,-1, 3968, 5322,208.24868,    NaN,556.86436,    NaN,    NaN, 0.63855
 209,-1, 3983, 5322,208.24576,    NaN,556.94066,    NaN,    NaN, 0.65231
 209,-1, 3999, 5322,208.24285,    NaN,557.00895,    NaN,    NaN, 0.68487
 209,-1, 4014, 5322,208.23994,    NaN,557.08370,    NaN,    NaN, 0.33968
 209,-1, 4030, 5322,208.23703,    NaN,557.13524,    NaN,    NaN,-0.21720
 209,-1, 4045, 5322,208.23411,    NaN,557.20347,    NaN,    NaN,-0.37797
 209,-1, 4061, 5322,208.23120,    NaN,557.31070,    NaN,    NaN,-0.09515
 209,-1, 4076, 5322,208.22829,    NaN,557.29485,    NaN,    NaN, 0.38381
 209,-1, 4092, 5322,208.22538,    NaN,557.34751,    NaN,    NaN, 0.86886
 209,-1, 4107, 5322,208.22247,    NaN,557.37797,    NaN,    NaN,-0.10015
 209,-1, 4123, 5322,208.21955,    NaN,557.41861,    NaN,    NaN,-0.84761
 209,-1, 4138, 5322,208.21664,    NaN,557.42862,    NaN,    NaN, 0.32303
 209,-1, 4154, 5322,208.21373,    NaN,557.45709,    NaN,    NaN, 0.82921
 209,-1, 4169, 5322,208.21082,    NaN,557.47870,    NaN,    NaN, 0.51497
 209,-1, 4185, 5322,208.20790,    NaN,557.50608,    NaN,    NaN, 0.52867
 209,-1, 4200, 5322,208.20499,    NaN,557.49944,    NaN,    NaN, 0.00189
 209,-1, 4216, 5322,208.20208,    NaN,557.49717,    NaN,    NaN,-0.15137
 209,-1, 4231, 5322,208.19917,    NaN,557.51153,    NaN,    NaN, 0.07583
 209,-1, 4247, 5322,208.19626,    NaN,557.51800,    NaN,    NaN,-0.54477
 209,-1, 4262, 5322,208.19334,    NaN,557.56853,    NaN,    NaN, 0.04119
 209,-1, 4278, 5322,208.19043,    NaN,557.48605,    NaN,    NaN, 0.89239
 209,-1, 4293, 5322,208.18752,    NaN,557.56098,    NaN,    NaN, 0.36825
 209,-1, 4309, 5322,208.18461,    NaN,557.51230,    NaN,    NaN, 0.04363
 209,-1, 4324, 5322,208.18170,    NaN,557.58083,    NaN,    NaN,-0.39351
 209,-1, 4340, 5322,208.17878,    NaN,557.55738,    NaN,    NaN,-0.67319
 209,-1, 4355, 5322,208.17587,    NaN,557.53011,    NaN,    NaN,-0.41828
 209,-1, 4371, 5322,208.17296,    NaN,557.45940,    NaN,    NaN, 0.09906
 209,-1, 4386, 5322,208.17005,    NaN,557.46891,    NaN,    NaN, 0.34434
 209,-1, 4402, 5322,208.16713,    NaN,557.37212,    NaN,    NaN, 0.07343
 209,-1, 4417, 5322,208.16422,    NaN,557.35910,    NaN,    NaN,-0.11509
 209,-1, 4433, 5322,208.16131,    NaN,557.21970,    NaN,    NaN,-0.19665
 209,-1, 4448, 5322,208.15840,    NaN,557.16353,    NaN,    NaN,-0.25938
 209,-1, 4464, 5322,208.15549,    NaN,557.06276,    NaN,    NaN, 0.24826
 209,-1, 4479, 5322,208.15257,    NaN,556.96638,    NaN,    NaN,-0.06104
