Htn2PtPl_05nov2009,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PtPl_05nov2009,
UTM,17 North,(WGS 84),Geoid03
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
100_D,LRdot,+38.428680457,-82.377568479,441.501,13957577.985,1245922.518,550.314,7.435,10:25:09 5 Nov 2009,,,,0.039,0.062,0.005,,,,1,11
101_D,LRdot,+38.428686926,-82.377550584,441.515,13957580.264,1245927.678,550.328,7.435,10:25:18 5 Nov 2009,,,,0.040,0.064,0.005,,,,1,11
102_D,LRdot,+38.428693437,-82.377532724,441.515,13957582.558,1245932.829,550.329,7.435,10:25:19 5 Nov 2009,,,,0.040,0.064,0.005,,,,1,11
103_D,LRdot,+38.428700689,-82.377512662,441.497,13957585.112,1245938.613,550.311,7.435,10:25:20 5 Nov 2009,,,,0.044,0.070,0.005,,,,1,11
104_D,LRdot,+38.428707670,-82.377493536,441.562,13957587.572,1245944.129,550.376,7.435,10:25:21 5 Nov 2009,,,,0.047,0.074,0.006,,,,1,11
105_D,LRdot,+38.428713853,-82.377476723,441.580,13957589.751,1245948.978,550.393,7.435,10:25:22 5 Nov 2009,,,,0.042,0.066,0.005,,,,1,11
106_D,LRdot,+38.428720361,-82.377458759,441.552,13957592.043,1245954.158,550.365,7.435,10:25:22 5 Nov 2009,,,,0.042,0.066,0.005,,,,1,11
107_D,LRdot,+38.428727092,-82.377440320,441.605,13957594.415,1245959.475,550.419,7.435,10:25:23 5 Nov 2009,,,,0.042,0.066,0.005,,,,1,11
108_D,LRdot,+38.428733832,-82.377421855,441.632,13957596.790,1245964.799,550.446,7.435,10:25:23 5 Nov 2009,,,,0.042,0.066,0.005,,,,1,11
109_D,LRdot,+38.428740591,-82.377403303,441.607,13957599.171,1245970.149,550.421,7.435,10:25:24 5 Nov 2009,,,,0.042,0.067,0.005,,,,1,11
110_D,LRdot,+38.428747700,-82.377383636,441.602,13957601.675,1245975.820,550.416,7.435,10:25:24 5 Nov 2009,,,,0.042,0.067,0.005,,,,1,11
111_D,LRdot,+38.428755506,-82.377362050,441.607,13957604.425,1245982.044,550.421,7.435,10:25:25 5 Nov 2009,,,,0.042,0.067,0.005,,,,1,11
112_D,LRdot,+38.428764065,-82.377338772,441.651,13957607.441,1245988.758,550.465,7.435,10:25:26 5 Nov 2009,,,,0.035,0.056,0.004,,,,1,11
113_D,LRdot,+38.428770080,-82.377322309,441.646,13957609.560,1245993.505,550.460,7.435,10:25:26 5 Nov 2009,,,,0.035,0.056,0.004,,,,1,11
114_D,LRdot,+38.428776354,-82.377305112,441.618,13957611.771,1245998.464,550.432,7.435,10:25:26 5 Nov 2009,,,,0.035,0.056,0.004,,,,1,11
115_D,LRdot,+38.428782942,-82.377287170,441.645,13957614.093,1246003.638,550.460,7.435,10:25:27 5 Nov 2009,,,,0.040,0.064,0.005,,,,1,11
116_D,LRdot,+38.428789606,-82.377268697,441.624,13957616.440,1246008.965,550.438,7.435,10:25:27 5 Nov 2009,,,,0.040,0.064,0.005,,,,1,11
117_D,LRdot,+38.428796613,-82.377249612,441.596,13957618.909,1246014.468,550.410,7.435,10:25:28 5 Nov 2009,,,,0.035,0.055,0.004,,,,1,11
118_D,LRdot,+38.428803757,-82.377229996,441.596,13957621.426,1246020.125,550.410,7.435,10:25:28 5 Nov 2009,,,,0.035,0.055,0.004,,,,1,11
119_D,LRdot,+38.428811074,-82.377209834,441.593,13957624.003,1246025.939,550.408,7.435,10:25:28 5 Nov 2009,,,,0.035,0.055,0.004,,,,1,11
120_D,LRdot,+38.428818673,-82.377189179,441.592,13957626.682,1246031.895,550.406,7.435,10:25:29 5 Nov 2009,,,,0.039,0.063,0.005,,,,1,11
121_D,LRdot,+38.428826392,-82.377167952,441.579,13957629.401,1246038.016,550.393,7.435,10:25:29 5 Nov 2009,,,,0.039,0.063,0.005,,,,1,11
122_D,LRdot,+38.428832296,-82.377151657,441.603,13957631.481,1246042.715,550.418,7.435,10:25:30 5 Nov 2009,,,,0.034,0.054,0.005,,,,1,11
123_D,LRdot,+38.428838420,-82.377135017,441.604,13957633.639,1246047.514,550.419,7.435,10:25:30 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
124_D,LRdot,+38.428846571,-82.377112502,441.596,13957636.510,1246054.006,550.411,7.435,10:25:30 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
125_D,LRdot,+38.428852824,-82.377095289,441.593,13957638.713,1246058.969,550.408,7.435,10:25:31 5 Nov 2009,,,,0.034,0.053,0.004,,,,1,11
126_D,LRdot,+38.428859231,-82.377077771,441.572,13957640.971,1246064.021,550.387,7.435,10:25:31 5 Nov 2009,,,,0.034,0.053,0.004,,,,1,11
127_D,LRdot,+38.428867885,-82.377054114,441.570,13957644.020,1246070.843,550.385,7.435,10:25:31 5 Nov 2009,,,,0.034,0.053,0.004,,,,1,11
128_D,LRdot,+38.428874509,-82.377036037,441.560,13957646.354,1246076.056,550.375,7.435,10:25:32 5 Nov 2009,,,,0.039,0.062,0.004,,,,1,11
129_D,LRdot,+38.428881174,-82.377017712,441.550,13957648.702,1246081.340,550.365,7.435,10:25:32 5 Nov 2009,,,,0.039,0.062,0.005,,,,1,11
130_D,LRdot,+38.428890211,-82.376992947,441.560,13957651.886,1246088.482,550.375,7.435,10:25:32 5 Nov 2009,,,,0.039,0.062,0.005,,,,1,11
131_D,LRdot,+38.428899414,-82.376967776,441.577,13957655.129,1246095.740,550.392,7.435,10:25:32 5 Nov 2009,,,,0.039,0.062,0.005,,,,1,11
132_D,LRdot,+38.428908667,-82.376942342,441.563,13957658.389,1246103.074,550.378,7.435,10:25:33 5 Nov 2009,,,,0.033,0.053,0.004,,,,1,11
133_D,LRdot,+38.428918141,-82.376916314,441.600,13957661.727,1246110.580,550.415,7.435,10:25:33 5 Nov 2009,,,,0.033,0.053,0.004,,,,1,11
134_D,LRdot,+38.428927821,-82.376889814,441.634,13957665.138,1246118.222,550.449,7.435,10:25:34 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
135_D,LRdot,+38.428937634,-82.376862780,441.608,13957668.595,1246126.017,550.423,7.435,10:25:34 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
136_D,LRdot,+38.428947674,-82.376835304,441.602,13957672.132,1246133.940,550.417,7.435,10:25:34 5 Nov 2009,,,,0.034,0.054,0.004,,,,1,11
137_D,LRdot,+38.428957900,-82.376807298,441.619,13957675.735,1246142.016,550.434,7.435,10:25:35 5 Nov 2009,,,,0.039,0.061,0.005,,,,1,11
138_D,LRdot,+38.428968298,-82.376778800,441.593,13957679.399,1246150.234,550.408,7.435,10:25:35 5 Nov 2009,,,,0.039,0.061,0.005,,,,1,11
