mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 209,-1, 3642, 5318,208.30919,    NaN,554.90246,    NaN,    NaN, 1.11409
 209,-1, 3658, 5318,208.30628,    NaN,554.99617,    NaN,    NaN, 0.72130
 209,-1, 3673, 5318,208.30336,    NaN,555.08565,    NaN,    NaN, 0.87369
 209,-1, 3689, 5318,208.30045,    NaN,555.20612,    NaN,    NaN, 1.16917
 209,-1, 3704, 5318,208.29753,    NaN,555.32326,    NaN,    NaN, 1.08140
 209,-1, 3720, 5318,208.29462,    NaN,555.44595,    NaN,    NaN, 0.97991
 209,-1, 3735, 5318,208.29170,    NaN,555.58081,    NaN,    NaN, 0.71001
 209,-1, 3751, 5318,208.28879,    NaN,555.64911,    NaN,    NaN, 0.70907
 209,-1, 3766, 5318,208.28587,    NaN,555.77769,    NaN,    NaN, 1.32214
 209,-1, 3782, 5318,208.28296,    NaN,555.76810,    NaN,    NaN, 1.38068
 209,-1, 3797, 5318,208.28004,    NaN,555.95504,    NaN,    NaN, 1.14393
 209,-1, 3813, 5318,208.27713,    NaN,556.08247,    NaN,    NaN, 1.34483
 209,-1, 3828, 5318,208.27421,    NaN,556.17060,    NaN,    NaN, 1.19967
 209,-1, 3844, 5318,208.27130,    NaN,556.17913,    NaN,    NaN, 0.90001
 209,-1, 3859, 5318,208.26838,    NaN,556.35952,    NaN,    NaN, 0.76884
 209,-1, 3875, 5318,208.26547,    NaN,556.41844,    NaN,    NaN, 1.03718
 209,-1, 3890, 5318,208.26255,    NaN,556.45241,    NaN,    NaN, 1.37306
 209,-1, 3906, 5318,208.25964,    NaN,556.57162,    NaN,    NaN, 1.12614
 209,-1, 3921, 5318,208.25673,    NaN,556.67754,    NaN,    NaN, 1.12363
 209,-1, 3937, 5318,208.25381,    NaN,556.71466,    NaN,    NaN, 0.96204
 209,-1, 3952, 5318,208.25090,    NaN,556.85970,    NaN,    NaN, 0.48331
 209,-1, 3968, 5318,208.24798,    NaN,556.93261,    NaN,    NaN, 0.71617
 209,-1, 3983, 5318,208.24507,    NaN,556.93976,    NaN,    NaN, 1.28659
 209,-1, 3999, 5318,208.24215,    NaN,557.03336,    NaN,    NaN, 0.91063
 209,-1, 4014, 5318,208.23924,    NaN,557.11573,    NaN,    NaN, 0.03093
 209,-1, 4030, 5318,208.23632,    NaN,557.12528,    NaN,    NaN,-0.22186
 209,-1, 4045, 5318,208.23341,    NaN,557.23543,    NaN,    NaN,-0.11084
 209,-1, 4061, 5318,208.23049,    NaN,557.31672,    NaN,    NaN, 0.02568
 209,-1, 4076, 5318,208.22758,    NaN,557.31750,    NaN,    NaN, 0.43895
 209,-1, 4092, 5318,208.22466,    NaN,557.38354,    NaN,    NaN, 0.37979
 209,-1, 4107, 5318,208.22175,    NaN,557.41542,    NaN,    NaN,-0.16973
 209,-1, 4123, 5318,208.21883,    NaN,557.45765,    NaN,    NaN,-0.14084
 209,-1, 4138, 5318,208.21592,    NaN,557.44032,    NaN,    NaN, 0.48312
 209,-1, 4154, 5318,208.21300,    NaN,557.52205,    NaN,    NaN, 0.37953
 209,-1, 4169, 5318,208.21009,    NaN,557.45742,    NaN,    NaN, 0.03056
 209,-1, 4185, 5318,208.20717,    NaN,557.56246,    NaN,    NaN, 0.18612
 209,-1, 4200, 5318,208.20426,    NaN,557.55100,    NaN,    NaN, 0.03781
 209,-1, 4216, 5318,208.20134,    NaN,557.53111,    NaN,    NaN, 0.11225
 209,-1, 4231, 5318,208.19843,    NaN,557.51772,    NaN,    NaN, 0.36041
 209,-1, 4247, 5318,208.19551,    NaN,557.52547,    NaN,    NaN, 0.10885
 209,-1, 4262, 5318,208.19260,    NaN,557.55913,    NaN,    NaN,-0.21709
 209,-1, 4278, 5318,208.18968,    NaN,557.50726,    NaN,    NaN, 0.15340
 209,-1, 4293, 5318,208.18677,    NaN,557.53899,    NaN,    NaN, 0.11645
 209,-1, 4309, 5318,208.18385,    NaN,557.53978,    NaN,    NaN, 0.01660
 209,-1, 4324, 5318,208.18094,    NaN,557.53468,    NaN,    NaN,-0.15548
 209,-1, 4340, 5318,208.17803,    NaN,557.53423,    NaN,    NaN,-0.53300
 209,-1, 4355, 5318,208.17511,    NaN,557.52166,    NaN,    NaN,-0.12248
 209,-1, 4371, 5318,208.17220,    NaN,557.46929,    NaN,    NaN, 0.13397
 209,-1, 4386, 5318,208.16928,    NaN,557.43637,    NaN,    NaN,-0.16228
 209,-1, 4402, 5318,208.16637,    NaN,557.37034,    NaN,    NaN,-0.38736
 209,-1, 4417, 5318,208.16345,    NaN,557.31380,    NaN,    NaN,-0.01970
 209,-1, 4433, 5318,208.16054,    NaN,557.19051,    NaN,    NaN, 0.11686
 209,-1, 4448, 5318,208.15762,    NaN,557.11275,    NaN,    NaN,-0.10438
 209,-1, 4464, 5318,208.15471,    NaN,557.05118,    NaN,    NaN,-0.07437
 209,-1, 4479, 5318,208.15179,    NaN,556.95227,    NaN,    NaN, 0.06053
 209,-1, 4495, 5318,208.14888,    NaN,556.90772,    NaN,    NaN,-0.10032
 209,-1, 4510, 5318,208.14596,    NaN,556.82831,    NaN,    NaN,-0.01229
 209,-1, 4526, 5318,208.14305,    NaN,556.73964,    NaN,    NaN, 0.10603
 209,-1, 4541, 5318,208.14013,    NaN,556.69867,    NaN,    NaN, 0.02404
