mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 211,-1,    0, 5368,210.99423,    NaN,550.38129,    NaN,    NaN,-0.24380
 211,-1,   15, 5368,210.99134,    NaN,550.38169,    NaN,    NaN, 0.29032
 211,-1,   31, 5368,210.98845,    NaN,550.40194,    NaN,    NaN, 0.49049
 211,-1,   46, 5368,210.98556,    NaN,550.40088,    NaN,    NaN,-0.33943
 211,-1,   62, 5368,210.98268,    NaN,550.39407,    NaN,    NaN,-0.79982
 211,-1,   77, 5368,210.97979,    NaN,550.36737,    NaN,    NaN,-0.08167
 211,-1,   93, 5368,210.97690,    NaN,550.40144,    NaN,    NaN, 0.21947
 211,-1,  108, 5368,210.97401,    NaN,550.42575,    NaN,    NaN,-0.04679
 211,-1,  124, 5368,210.97113,    NaN,550.38118,    NaN,    NaN, 0.01365
 211,-1,  139, 5368,210.96824,    NaN,550.38755,    NaN,    NaN, 0.07682
 211,-1,  155, 5368,210.96535,    NaN,550.36053,    NaN,    NaN, 0.23733
 211,-1,  170, 5368,210.96246,    NaN,550.37791,    NaN,    NaN, 0.02313
 211,-1,  186, 5368,210.95958,    NaN,550.39827,    NaN,    NaN, 0.10102
 211,-1,  201, 5368,210.95669,    NaN,550.40883,    NaN,    NaN,-0.30254
 211,-1,  217, 5368,210.95380,    NaN,550.39760,    NaN,    NaN,-0.53493
 211,-1,  232, 5368,210.95092,    NaN,550.38905,    NaN,    NaN, 0.31240
 211,-1,  248, 5368,210.94803,    NaN,550.38288,    NaN,    NaN, 0.55089
 211,-1,  263, 5368,210.94514,    NaN,550.37264,    NaN,    NaN, 0.19981
 211,-1,  279, 5368,210.94225,    NaN,550.44334,    NaN,    NaN,-0.01371
 211,-1,  294, 5368,210.93937,    NaN,550.44271,    NaN,    NaN,-0.28973
 211,-1,  310, 5368,210.93648,    NaN,550.47131,    NaN,    NaN,-0.08572
 211,-1,  325, 5368,210.93359,    NaN,550.46224,    NaN,    NaN, 0.09515
 211,-1,  341, 5368,210.93070,    NaN,550.46994,    NaN,    NaN,-0.08453
 211,-1,  356, 5368,210.92782,    NaN,550.45056,    NaN,    NaN, 0.18547
 211,-1,  372, 5368,210.92493,    NaN,550.43085,    NaN,    NaN,-0.02257
 211,-1,  387, 5368,210.92204,    NaN,550.44625,    NaN,    NaN,-0.33575
 211,-1,  403, 5368,210.91916,    NaN,550.49060,    NaN,    NaN, 0.03033
 211,-1,  418, 5368,210.91627,    NaN,550.48692,    NaN,    NaN, 0.20494
 211,-1,  434, 5368,210.91338,    NaN,550.45121,    NaN,    NaN, 0.12238
 211,-1,  449, 5368,210.91049,    NaN,550.51345,    NaN,    NaN, 0.00779
 211,-1,  465, 5368,210.90761,    NaN,550.53280,    NaN,    NaN,-0.39491
 211,-1,  480, 5368,210.90472,    NaN,550.55803,    NaN,    NaN,-0.03776
 211,-1,  496, 5368,210.90183,    NaN,550.55659,    NaN,    NaN, 0.49898
 211,-1,  511, 5368,210.89894,    NaN,550.59817,    NaN,    NaN, 0.13312
 211,-1,  527, 5368,210.89606,    NaN,550.61505,    NaN,    NaN,-0.05386
 211,-1,  542, 5368,210.89317,    NaN,550.56052,    NaN,    NaN, 0.04145
 211,-1,  558, 5368,210.89028,    NaN,550.58870,    NaN,    NaN,-0.05309
 211,-1,  573, 5368,210.88739,    NaN,550.65553,    NaN,    NaN,-0.20005
 211,-1,  589, 5368,210.88451,    NaN,550.60681,    NaN,    NaN, 0.02926
 211,-1,  604, 5368,210.88162,    NaN,550.56016,    NaN,    NaN, 0.00040
 211,-1,  620, 5368,210.87873,    NaN,550.53177,    NaN,    NaN,-0.03982
 211,-1,  635, 5368,210.87585,    NaN,550.59862,    NaN,    NaN, 0.21694
 211,-1,  651, 5368,210.87296,    NaN,550.58740,    NaN,    NaN,-0.04068
 211,-1,  666, 5368,210.87007,    NaN,550.56681,    NaN,    NaN,-0.29164
 211,-1,  682, 5368,210.86718,    NaN,550.58112,    NaN,    NaN, 0.06945
 211,-1,  697, 5368,210.86430,    NaN,550.64900,    NaN,    NaN, 0.29796
 211,-1,  713, 5368,210.86141,    NaN,550.64657,    NaN,    NaN,-0.08422
