1Mar2010_C&O,X:\Documents\Engineering\Data\LOR\1Mar2010_C&O,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
100,leftRail,+38.428676967,-82.377578386,449.226,13957576.758,1245919.662,550.328,7.435,12:21:03 1 Mar 2010,0.000,0.000,0.000,0.016,0.022,0.002,,,,1,12
101,leftRail,+38.428682855,-82.377562298,449.205,13957578.832,1245924.302,550.307,7.435,12:22:41 1 Mar 2010,0.000,0.000,0.000,0.014,0.020,0.002,,,,1,12
102,leftRail,+38.428688642,-82.377546127,449.195,13957580.870,1245928.964,550.298,7.435,12:22:55 1 Mar 2010,0.000,0.000,0.000,0.016,0.022,0.002,,,,1,12
103,leftRail,+38.428694469,-82.377530115,449.223,13957582.923,1245933.582,550.325,7.435,12:23:13 1 Mar 2010,0.000,0.000,0.000,0.022,0.030,0.002,,,,1,12
104,leftRail,+38.428700184,-82.377514204,449.214,13957584.935,1245938.169,550.316,7.435,12:23:20 1 Mar 2010,0.000,0.000,0.000,0.018,0.024,0.002,,,,1,12
105,leftRail,+38.428706176,-82.377497886,449.256,13957587.047,1245942.875,550.358,7.435,12:23:33 1 Mar 2010,0.000,0.000,0.000,0.021,0.029,0.002,,,,1,12
106,leftRail,+38.428712000,-82.377481927,449.277,13957589.099,1245947.477,550.379,7.435,12:23:38 1 Mar 2010,0.000,0.000,0.000,0.015,0.020,0.002,,,,1,12
107,leftRail,+38.428717888,-82.377465978,449.258,13957591.175,1245952.077,550.361,7.435,12:25:03 1 Mar 2010,0.000,0.000,0.000,0.015,0.020,0.002,,,,1,12
108,leftRail,+38.428724326,-82.377448441,449.280,13957593.443,1245957.134,550.382,7.435,12:25:06 1 Mar 2010,0.000,0.000,0.000,0.018,0.024,0.002,,,,1,12
109,leftRail,+38.428730287,-82.377431820,449.297,13957595.542,1245961.926,550.399,7.435,12:25:07 1 Mar 2010,0.000,0.000,0.000,0.018,0.024,0.002,,,,1,12
110,leftRail,+38.428736705,-82.377414371,449.269,13957597.804,1245966.958,550.372,7.435,12:25:08 1 Mar 2010,0.000,0.000,0.000,0.015,0.020,0.002,,,,1,12
111,leftRail,+38.428742739,-82.377397626,449.302,13957599.929,1245971.787,550.404,7.435,12:25:09 1 Mar 2010,0.000,0.000,0.000,0.018,0.024,0.002,,,,1,12
112,leftRail,+38.428749647,-82.377378754,449.280,13957602.363,1245977.229,550.383,7.435,12:25:10 1 Mar 2010,0.000,0.000,0.000,0.021,0.029,0.002,,,,1,12
113,leftRail,+38.428756488,-82.377359336,449.293,13957604.771,1245982.827,550.396,7.435,12:25:10 1 Mar 2010,0.000,0.000,0.000,0.021,0.029,0.002,,,,1,12
114,leftRail,+38.428763243,-82.377341043,449.320,13957607.152,1245988.103,550.423,7.435,12:25:11 1 Mar 2010,0.000,0.000,0.000,0.023,0.030,0.002,,,,1,12
115,leftRail,+38.428769580,-82.377323520,449.308,13957609.384,1245993.155,550.411,7.435,12:25:12 1 Mar 2010,0.000,0.000,0.000,0.018,0.025,0.002,,,,1,12
116,leftRail,+38.428775738,-82.377306613,449.308,13957611.554,1245998.031,550.411,7.435,12:25:13 1 Mar 2010,0.000,0.000,0.000,0.023,0.031,0.002,,,,1,12
117,leftRail,+38.428781641,-82.377290358,449.297,13957613.633,1246002.718,550.399,7.435,12:25:14 1 Mar 2010,0.000,0.000,0.000,0.015,0.020,0.002,,,,1,12
118,leftRail,+38.428788868,-82.377270863,449.333,13957616.181,1246008.340,550.436,7.435,12:25:14 1 Mar 2010,0.000,0.000,0.000,0.015,0.020,0.002,,,,1,12
119,leftRail,+38.428795714,-82.377252072,449.259,13957618.593,1246013.759,550.362,7.435,12:25:15 1 Mar 2010,0.000,0.000,0.000,0.020,0.026,0.002,,,,1,12
120,leftRail,+38.428802374,-82.377233835,449.283,13957620.939,1246019.018,550.386,7.435,12:25:16 1 Mar 2010,0.000,0.000,0.000,0.023,0.031,0.002,,,,1,12
121,leftRail,+38.428808336,-82.377217592,449.285,13957623.040,1246023.702,550.388,7.435,12:25:17 1 Mar 2010,0.000,0.000,0.000,0.024,0.032,0.003,,,,1,12
122,leftRail,+38.428815124,-82.377199073,449.307,13957625.432,1246029.043,550.410,7.435,12:25:18 1 Mar 2010,0.000,0.000,0.000,0.017,0.022,0.002,,,,1,12
123,leftRail,+38.428822605,-82.377178588,449.294,13957628.068,1246034.950,550.397,7.435,12:25:19 1 Mar 2010,0.000,0.000,0.000,0.020,0.027,0.002,,,,1,12
124,leftRail,+38.428828532,-82.377162394,449.312,13957630.157,1246039.620,550.415,7.435,12:25:19 1 Mar 2010,0.000,0.000,0.000,0.020,0.027,0.002,,,,1,12
125,leftRail,+38.428834300,-82.377146475,449.278,13957632.189,1246044.210,550.382,7.435,12:25:20 1 Mar 2010,0.000,0.000,0.000,0.020,0.027,0.002,,,,1,12
126,leftRail,+38.428841826,-82.377125994,449.265,13957634.841,1246050.116,550.368,7.435,12:25:21 1 Mar 2010,0.000,0.000,0.000,0.020,0.027,0.002,,,,1,12
127,leftRail,+38.428848822,-82.377106565,449.272,13957637.305,1246055.718,550.375,7.435,12:25:22 1 Mar 2010,0.000,0.000,0.000,0.023,0.031,0.002,,,,1,12
128,leftRail,+38.428855682,-82.377087981,449.277,13957639.723,1246061.078,550.381,7.435,12:25:22 1 Mar 2010,0.000,0.000,0.000,0.023,0.031,0.002,,,,1,12
129,leftRail,+38.428862115,-82.377070428,449.273,13957641.990,1246066.140,550.376,7.435,12:25:23 1 Mar 2010,0.000,0.000,0.000,0.017,0.023,0.002,,,,1,12
130,leftRail,+38.428869061,-82.377051307,449.289,13957644.437,1246071.654,550.393,7.435,12:25:24 1 Mar 2010,0.000,0.000,0.000,0.017,0.023,0.002,,,,1,12
131,leftRail,+38.428875003,-82.377035001,449.259,13957646.530,1246076.355,550.362,7.435,12:25:25 1 Mar 2010,0.000,0.000,0.000,0.017,0.023,0.002,,,,1,12
132,leftRail,+38.428881512,-82.377017106,449.258,13957648.823,1246081.516,550.362,7.435,12:25:26 1 Mar 2010,0.000,0.000,0.000,0.020,0.027,0.002,,,,1,12
133,leftRail,+38.428887387,-82.377001059,449.257,13957650.894,1246086.143,550.360,7.435,12:25:28 1 Mar 2010,0.000,0.000,0.000,0.020,0.027,0.002,,,,1,12
134,leftRail,+38.428893652,-82.376984007,449.270,13957653.101,1246091.061,550.374,7.435,12:26:42 1 Mar 2010,0.000,0.000,0.000,0.023,0.031,0.002,,,,1,12
