mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 209,-1, 3642, 5322,208.30977,    NaN,554.88106,    NaN,    NaN, 1.22711
 209,-1, 3658, 5322,208.30686,    NaN,554.96849,    NaN,    NaN, 0.93643
 209,-1, 3673, 5322,208.30395,    NaN,555.07694,    NaN,    NaN, 0.75030
 209,-1, 3689, 5322,208.30104,    NaN,555.19064,    NaN,    NaN, 1.00719
 209,-1, 3704, 5322,208.29812,    NaN,555.29845,    NaN,    NaN, 0.97420
 209,-1, 3720, 5322,208.29521,    NaN,555.35489,    NaN,    NaN, 0.88629
 209,-1, 3735, 5322,208.29230,    NaN,555.46008,    NaN,    NaN, 0.99314
 209,-1, 3751, 5322,208.28939,    NaN,555.56048,    NaN,    NaN, 0.80319
 209,-1, 3766, 5322,208.28648,    NaN,555.62562,    NaN,    NaN, 0.78402
 209,-1, 3782, 5322,208.28356,    NaN,555.73938,    NaN,    NaN, 1.27742
 209,-1, 3797, 5322,208.28065,    NaN,555.90326,    NaN,    NaN, 1.71107
 209,-1, 3813, 5322,208.27774,    NaN,555.97810,    NaN,    NaN, 1.42500
 209,-1, 3828, 5322,208.27483,    NaN,556.04850,    NaN,    NaN, 0.95616
 209,-1, 3844, 5322,208.27191,    NaN,556.18635,    NaN,    NaN, 0.67077
 209,-1, 3859, 5322,208.26900,    NaN,556.27613,    NaN,    NaN, 0.60214
 209,-1, 3875, 5322,208.26609,    NaN,556.29651,    NaN,    NaN, 1.33308
 209,-1, 3890, 5322,208.26318,    NaN,556.40464,    NaN,    NaN, 1.40195
 209,-1, 3906, 5322,208.26026,    NaN,556.47959,    NaN,    NaN, 1.07906
 209,-1, 3921, 5322,208.25735,    NaN,556.52616,    NaN,    NaN, 1.07124
 209,-1, 3937, 5322,208.25444,    NaN,556.64791,    NaN,    NaN, 0.99940
 209,-1, 3952, 5322,208.25153,    NaN,556.69615,    NaN,    NaN, 1.05689
 209,-1, 3968, 5322,208.24861,    NaN,556.78826,    NaN,    NaN, 0.73671
 209,-1, 3983, 5322,208.24570,    NaN,556.86331,    NaN,    NaN, 0.77828
 209,-1, 3999, 5322,208.24279,    NaN,556.90666,    NaN,    NaN, 0.80498
 209,-1, 4014, 5322,208.23988,    NaN,556.95002,    NaN,    NaN, 0.52905
 209,-1, 4030, 5322,208.23697,    NaN,557.06817,    NaN,    NaN, 0.30709
 209,-1, 4045, 5322,208.23405,    NaN,557.12784,    NaN,    NaN,-0.29709
 209,-1, 4061, 5322,208.23114,    NaN,557.17730,    NaN,    NaN,-0.53167
 209,-1, 4076, 5322,208.22823,    NaN,557.27480,    NaN,    NaN, 0.04629
 209,-1, 4092, 5322,208.22532,    NaN,557.28933,    NaN,    NaN, 0.82384
 209,-1, 4107, 5322,208.22240,    NaN,557.33792,    NaN,    NaN, 0.69250
 209,-1, 4123, 5322,208.21949,    NaN,557.38536,    NaN,    NaN,-0.65110
 209,-1, 4138, 5322,208.21658,    NaN,557.41318,    NaN,    NaN,-0.25849
 209,-1, 4154, 5322,208.21367,    NaN,557.40325,    NaN,    NaN, 0.86072
 209,-1, 4169, 5322,208.21075,    NaN,557.42018,    NaN,    NaN, 0.54510
 209,-1, 4185, 5322,208.20784,    NaN,557.44428,    NaN,    NaN, 0.20462
 209,-1, 4200, 5322,208.20493,    NaN,557.48565,    NaN,    NaN, 0.18757
 209,-1, 4216, 5322,208.20202,    NaN,557.46900,    NaN,    NaN,-0.13579
 209,-1, 4231, 5322,208.19910,    NaN,557.52464,    NaN,    NaN,-0.10296
 209,-1, 4247, 5322,208.19619,    NaN,557.50084,    NaN,    NaN,-0.21634
 209,-1, 4262, 5322,208.19328,    NaN,557.50093,    NaN,    NaN,-0.02683
 209,-1, 4278, 5322,208.19037,    NaN,557.49016,    NaN,    NaN, 0.51448
 209,-1, 4293, 5322,208.18745,    NaN,557.50588,    NaN,    NaN, 0.42993
 209,-1, 4309, 5322,208.18454,    NaN,557.52312,    NaN,    NaN,-0.02488
 209,-1, 4324, 5322,208.18163,    NaN,557.52792,    NaN,    NaN,-0.03350
 209,-1, 4340, 5322,208.17872,    NaN,557.54430,    NaN,    NaN,-0.34307
 209,-1, 4355, 5322,208.17581,    NaN,557.51963,    NaN,    NaN,-0.55106
 209,-1, 4371, 5322,208.17289,    NaN,557.49471,    NaN,    NaN,-0.29223
 209,-1, 4386, 5322,208.16998,    NaN,557.48295,    NaN,    NaN, 0.03157
 209,-1, 4402, 5322,208.16707,    NaN,557.38387,    NaN,    NaN,-0.06576
 209,-1, 4417, 5322,208.16416,    NaN,557.33577,    NaN,    NaN,-0.09962
 209,-1, 4433, 5322,208.16124,    NaN,557.23327,    NaN,    NaN,-0.12801
 209,-1, 4448, 5322,208.15833,    NaN,557.16037,    NaN,    NaN,-0.15275
 209,-1, 4464, 5322,208.15542,    NaN,557.02924,    NaN,    NaN, 0.25300
 209,-1, 4479, 5322,208.15251,    NaN,556.87390,    NaN,    NaN, 0.06766
 209,-1, 4495, 5322,208.14959,    NaN,556.85680,    NaN,    NaN,-0.12631
