mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 210,-1,    0, 5310,209.99416,    NaN,555.83472,    NaN,    NaN,-0.47816
 210,-1,   15, 5310,209.99124,    NaN,555.94736,    NaN,    NaN, 0.19625
 210,-1,   31, 5310,209.98832,    NaN,555.79964,    NaN,    NaN,-0.09111
 210,-1,   46, 5310,209.98541,    NaN,555.75690,    NaN,    NaN,-0.26671
 210,-1,   62, 5310,209.98249,    NaN,555.71849,    NaN,    NaN, 0.14846
 210,-1,   77, 5310,209.97957,    NaN,555.74968,    NaN,    NaN,-0.12839
 210,-1,   93, 5310,209.97665,    NaN,555.72689,    NaN,    NaN,-0.16119
 210,-1,  108, 5310,209.97373,    NaN,555.72640,    NaN,    NaN, 0.35097
 210,-1,  124, 5310,209.97081,    NaN,555.67833,    NaN,    NaN, 0.59999
 210,-1,  139, 5310,209.96789,    NaN,555.64117,    NaN,    NaN,-0.14860
 210,-1,  155, 5310,209.96497,    NaN,555.77050,    NaN,    NaN,-0.79992
 210,-1,  170, 5310,209.96205,    NaN,555.68535,    NaN,    NaN,-0.20959
 210,-1,  186, 5310,209.95913,    NaN,555.65817,    NaN,    NaN, 0.10305
 210,-1,  201, 5310,209.95622,    NaN,555.74721,    NaN,    NaN, 0.94876
 210,-1,  217, 5310,209.95330,    NaN,555.55129,    NaN,    NaN, 0.11376
 210,-1,  232, 5310,209.95038,    NaN,555.65056,    NaN,    NaN,-0.55150
 210,-1,  248, 5310,209.94746,    NaN,555.58759,    NaN,    NaN,-0.00075
 210,-1,  263, 5310,209.94454,    NaN,555.55006,    NaN,    NaN, 0.06119
 210,-1,  279, 5310,209.94162,    NaN,555.63417,    NaN,    NaN, 0.12802
 210,-1,  294, 5310,209.93870,    NaN,555.71137,    NaN,    NaN, 0.23069
 210,-1,  310, 5310,209.93578,    NaN,555.60284,    NaN,    NaN, 0.07868
 210,-1,  325, 5310,209.93286,    NaN,555.59466,    NaN,    NaN, 0.40322
 210,-1,  341, 5310,209.92994,    NaN,555.64566,    NaN,    NaN, 0.01638
 210,-1,  356, 5310,209.92703,    NaN,555.68168,    NaN,    NaN, 0.03377
 210,-1,  372, 5310,209.92411,    NaN,555.72511,    NaN,    NaN,-0.17802
 210,-1,  387, 5310,209.92119,    NaN,555.73850,    NaN,    NaN,-0.03558
 210,-1,  403, 5310,209.91827,    NaN,555.78890,    NaN,    NaN,-0.11713
 210,-1,  418, 5310,209.91535,    NaN,555.80344,    NaN,    NaN,-0.03844
 210,-1,  434, 5310,209.91243,    NaN,555.82571,    NaN,    NaN, 0.33028
 210,-1,  449, 5310,209.90951,    NaN,555.95727,    NaN,    NaN,-0.40752
 210,-1,  465, 5310,209.90659,    NaN,555.93576,    NaN,    NaN,-0.67338
 210,-1,  480, 5310,209.90367,    NaN,555.97209,    NaN,    NaN, 0.20967
 210,-1,  496, 5310,209.90075,    NaN,556.01636,    NaN,    NaN, 0.55435
 210,-1,  511, 5310,209.89784,    NaN,556.03793,    NaN,    NaN,-0.03568
 210,-1,  527, 5310,209.89492,    NaN,555.93211,    NaN,    NaN,-0.07009
 210,-1,  542, 5310,209.89200,    NaN,555.87638,    NaN,    NaN, 0.15634
 210,-1,  558, 5310,209.88908,    NaN,555.88675,    NaN,    NaN,-0.05630
 210,-1,  573, 5310,209.88616,    NaN,555.85275,    NaN,    NaN,-0.22956
 210,-1,  589, 5310,209.88324,    NaN,555.85863,    NaN,    NaN,-0.23719
 210,-1,  604, 5310,209.88032,    NaN,555.84059,    NaN,    NaN,-0.06226
 210,-1,  620, 5310,209.87740,    NaN,555.78897,    NaN,    NaN, 0.26001
 210,-1,  635, 5310,209.87448,    NaN,555.81064,    NaN,    NaN,-0.02567
 210,-1,  651, 5310,209.87156,    NaN,555.74973,    NaN,    NaN,-0.32083
 210,-1,  666, 5310,209.86865,    NaN,555.77666,    NaN,    NaN, 0.23747
 210,-1,  682, 5310,209.86573,    NaN,555.76839,    NaN,    NaN, 0.07981
 210,-1,  697, 5310,209.86281,    NaN,555.76592,    NaN,    NaN,-0.09304
 210,-1,  713, 5310,209.85989,    NaN,555.75828,    NaN,    NaN,-0.14509
 210,-1,  728, 5310,209.85697,    NaN,555.78842,    NaN,    NaN,-0.18639
 210,-1,  744, 5310,209.85405,    NaN,555.78977,    NaN,    NaN,-0.03526
 210,-1,  759, 5310,209.85113,    NaN,555.82976,    NaN,    NaN,-0.03230
 210,-1,  775, 5310,209.84821,    NaN,555.79970,    NaN,    NaN, 0.17741
 210,-1,  790, 5310,209.84529,    NaN,555.82508,    NaN,    NaN, 0.20823
 210,-1,  806, 5310,209.84237,    NaN,555.82754,    NaN,    NaN,-0.21453
 210,-1,  821, 5310,209.83946,    NaN,555.81020,    NaN,    NaN,-0.11325
 210,-1,  837, 5310,209.83654,    NaN,555.81020,    NaN,    NaN,-0.04631
 210,-1,  852, 5310,209.83362,    NaN,555.84919,    NaN,    NaN,-0.03142
 210,-1,  868, 5310,209.83070,    NaN,555.88264,    NaN,    NaN, 0.25592
 210,-1,  883, 5310,209.82778,    NaN,555.87369,    NaN,    NaN,-0.15862
 210,-1,  899, 5310,209.82486,    NaN,555.86072,    NaN,    NaN,-0.21104
 210,-1,  914, 5310,209.82194,    NaN,555.91430,    NaN,    NaN, 0.16653
 210,-1,  930, 5310,209.81902,    NaN,555.87752,    NaN,    NaN, 0.25549
