id,northing,easting,elevation
4925_A,13953114.95,1244833.439,570.554
4926_A,13953115.92,1244827.834,570.522
4927_A,13953117.22,1244820.37,570.448
4928_A,13953118.19,1244814.774,570.433
4929_A,13953119.19,1244809.165,570.399
4930_A,13953120.53,1244801.688,570.333
4931_A,13953121.59,1244796.079,570.311
4932_A,13953122.66,1244790.47,570.238
4933_A,13953124.11,1244782.972,570.167
4934_A,13953125.22,1244777.335,570.16
4935_A,13953126.34,1244771.697,570.125
4936_A,13953127.83,1244764.164,570.106
4937_A,13953128.98,1244758.523,570.076
4938_A,13953130.13,1244752.858,570.046
4939_A,13953131.71,1244745.335,570.001
4940_A,13953132.91,1244739.707,569.964
4941_A,13953134.13,1244734.069,569.968
4942_A,13953135.77,1244726.598,569.961
4943_A,13953136.98,1244721.011,569.96
4944_A,13953138.22,1244715.461,569.906
4945_A,13953139.9,1244708.088,569.903
4946_A,13953141.19,1244702.585,569.899
4947_A,13953142.47,1244697.099,569.909
4948_A,13953144.18,1244689.805,569.858
4949_A,13953145.5,1244684.35,569.837
4950_A,13953146.81,1244678.905,569.848
4951_A,13953148.59,1244671.655,569.811
4952_A,13953149.94,1244666.203,569.752
4953_A,13953151.31,1244660.772,569.752
4954_A,13953153.17,1244653.469,569.695
4955_A,13953154.57,1244647.999,569.677
4956_A,13953155.99,1244642.518,569.614
4957_A,13953157.94,1244635.157,569.572
4958_A,13953159.41,1244629.628,569.516
4959_A,13953160.89,1244624.088,569.493
4960_A,13953162.89,1244616.699,569.468
4961_A,13953164.42,1244611.164,569.416
4962_A,13953166,1244605.592,569.362
4963_A,13953168.06,1244598.172,569.345
4964_A,13953169.66,1244592.597,569.271
4965_A,13953171.26,1244586.995,569.28
4966_A,13953173.41,1244579.559,569.178
4967_A,13953175.05,1244573.982,569.141
4968_A,13953176.73,1244568.394,569.137
4969_A,13953178.96,1244560.96,569.043
4970_A,13953180.67,1244555.356,569.017
4971_A,13953182.37,1244549.798,568.991
4972_A,13953184.64,1244542.374,568.907
4973_A,13953186.39,1244536.828,568.9
4974_A,13953188.11,1244531.29,568.882
4975_A,13953190.42,1244523.941,568.836
4976_A,13953192.2,1244518.451,568.814
4977_A,13953193.98,1244512.983,568.786
4978_A,13953196.4,1244505.714,568.77
4979_A,13953198.19,1244500.303,568.734
4980_A,13953199.98,1244494.88,568.702
4981_A,13953202.39,1244487.675,568.633
4982_A,13953204.21,1244482.271,568.647
4983_A,13953206.07,1244476.879,568.598
4984_A,13953208.57,1244469.677,568.57
4985_A,13953210.44,1244464.279,568.574
4986_A,13953212.36,1244458.87,568.467
4987_A,13953214.9,1244451.595,568.452
4988_A,13953217.52,1244444.331,568.401
4989_A,13953220.2,1244437.008,568.354
4990_A,13953222.89,1244429.655,568.313
4991_A,13953225.63,1244422.329,568.271
4992_A,13953228.4,1244414.968,568.246
4993_A,13953231.16,1244407.538,568.212
4994_A,13953234.01,1244400.081,568.172
4995_A,13953236.92,1244392.61,568.138
4996_A,13953239.85,1244385.101,568.104
4997_A,13953242.82,1244377.565,568.078
4998_A,13953245.8,1244369.993,568.072
4999_A,13953248.87,1244362.453,568.013
5000_A,13953251.95,1244354.87,567.967
5001_A,13953255.08,1244347.237,567.958
5002_A,13953258.23,1244339.631,567.89
5003_A,13953261.43,1244332.025,567.833
5004_A,13953264.66,1244324.376,567.815
5005_A,13953267.93,1244316.728,567.777
5006_A,13953271.26,1244309.117,567.694
5007_A,13953274.58,1244301.489,567.67
5008_A,13953277.92,1244293.886,567.61
5009_A,13953281.25,1244286.333,567.63
