id,northing,easting,elevation
7131_B,13953115.23,1244831.686,570.502
7132_B,13953116.11,1244826.56,570.465
7133_B,13953117.22,1244820.305,570.472
7134_B,13953118.11,1244815.141,570.407
7135_B,13953119.23,1244808.806,570.331
7136_B,13953120.15,1244803.619,570.321
7137_B,13953121.32,1244797.244,570.291
7138_B,13953122.32,1244791.997,570.23
7139_B,13953123.57,1244785.577,570.204
7140_B,13953124.58,1244780.304,570.126
7141_B,13953125.97,1244773.278,570.127
7142_B,13953127.38,1244766.228,570.07
7143_B,13953128.8,1244759.191,570.061
7144_B,13953130.23,1244752.139,570.056
7145_B,13953131.71,1244745.126,570.02
7146_B,13953133.09,1244738.699,569.999
7147_B,13953134.23,1244733.445,569.93
7148_B,13953135.61,1244727.062,569.952
7149_B,13953136.75,1244721.818,569.936
7150_B,13953138.19,1244715.433,569.935
7151_B,13953139.35,1244710.205,569.87
7152_B,13953141,1244703.233,569.858
7153_B,13953142.66,1244696.138,569.818
7154_B,13953144.37,1244688.865,569.812
7155_B,13953145.56,1244683.927,569.804
7156_B,13953146.78,1244678.941,569.693
7157_B,13953148,1244673.917,569.73
7158_B,13953149.24,1244668.864,569.673
7159_B,13953150.53,1244663.779,569.632
7160_B,13953151.79,1244658.653,569.642
7161_B,13953153.12,1244653.533,569.627
7162_B,13953154.46,1244648.356,569.604
7163_B,13953155.78,1244643.148,569.544
7164_B,13953157.16,1244637.938,569.526
7165_B,13953158.56,1244632.715,569.465
7166_B,13953159.96,1244627.438,569.471
7167_B,13953161.37,1244622.189,569.436
7168_B,13953162.83,1244616.918,569.452
7169_B,13953164.26,1244611.598,569.393
7170_B,13953165.77,1244606.306,569.35
7171_B,13953167.27,1244601.012,569.323
7172_B,13953168.77,1244595.695,569.259
7173_B,13953170.25,1244590.365,569.203
7174_B,13953171.8,1244585.041,569.158
7175_B,13953173.35,1244579.692,569.13
7176_B,13953174.93,1244574.353,569.102
7177_B,13953176.53,1244569.027,569.072
7178_B,13953178.14,1244563.656,569.048
7179_B,13953179.75,1244558.322,569.047
7180_B,13953181.37,1244552.96,569.035
7181_B,13953183.01,1244547.591,568.978
7182_B,13953184.67,1244542.233,568.945
7183_B,13953186.32,1244536.866,568.957
7184_B,13953188.02,1244531.486,568.848
7185_B,13953189.71,1244526.077,568.805
7186_B,13953191.42,1244520.717,568.791
7187_B,13953193.18,1244515.339,568.8
7188_B,13953194.93,1244509.969,568.727
7189_B,13953196.75,1244504.619,568.763
7190_B,13953198.56,1244499.235,568.687
7191_B,13953200.3,1244493.853,568.642
7192_B,13953202.11,1244488.461,568.631
7193_B,13953203.93,1244483.08,568.553
7194_B,13953205.73,1244477.735,568.616
7195_B,13953207.61,1244472.362,568.568
7196_B,13953209.49,1244466.988,568.506
7197_B,13953211.37,1244461.634,568.489
7198_B,13953213.23,1244456.258,568.465
7199_B,13953215.15,1244450.903,568.451
7200_B,13953217.07,1244445.507,568.426
7201_B,13953219.04,1244440.064,568.461
7202_B,13953221.09,1244434.54,568.394
7203_B,13953223.14,1244428.95,568.352
7204_B,13953224.98,1244424.002,568.28
7205_B,13953227.37,1244417.566,568.264
7206_B,13953229.55,1244411.795,568.212
7207_B,13953231.76,1244405.943,568.194
7208_B,13953234.01,1244400.058,568.118
7209_B,13953236.3,1244394.089,568.14
7210_B,13953238.6,1244388.097,568.096
7211_B,13953240.98,1244382.098,568.043
7212_B,13953243.37,1244376.107,568.069
7213_B,13953245.76,1244370.131,568.05
7214_B,13953247.88,1244364.872,567.974
7215_B,13953250.59,1244358.163,567.932
7216_B,13953253.06,1244352.205,567.863
7217_B,13953255.49,1244346.274,567.868
7218_B,13953257.91,1244340.381,567.802
7219_B,13953260.05,1244335.26,567.808
7220_B,13953262.79,1244328.711,567.767
7221_B,13953265.28,1244322.913,567.799
7222_B,13953267.74,1244317.156,567.776
7223_B,13953270.23,1244311.42,567.726
7224_B,13953272.41,1244306.451,567.645
7225_B,13953275.2,1244300.061,567.596
7226_B,13953277.68,1244294.422,567.621
7227_B,13953280.15,1244288.813,567.621
7228_B,13953282.66,1244283.218,567.553
