id,northing,easting,elevation
5421_D,13953100.48,1244836.264,571.529
5422_D,13953101.49,1244830.197,571.478
5423_D,13953102.54,1244824.129,571.45
5424_D,13953103.57,1244818.043,571.449
5425_D,13953104.66,1244811.968,571.372
5426_D,13953105.71,1244805.873,571.386
5427_D,13953106.86,1244799.775,571.336
5428_D,13953107.95,1244793.68,571.318
5429_D,13953109.12,1244787.587,571.332
5430_D,13953110.28,1244781.481,571.264
5431_D,13953111.47,1244775.365,571.269
5432_D,13953112.66,1244769.262,571.243
5433_D,13953113.87,1244763.143,571.191
5434_D,13953115.08,1244757.033,571.169
5435_D,13953116.32,1244750.915,571.159
5436_D,13953117.6,1244744.814,571.114
5437_D,13953118.89,1244738.685,571.084
5438_D,13953120.2,1244732.586,571.048
5439_D,13953121.51,1244726.472,571.025
5440_D,13953122.85,1244720.394,570.989
5441_D,13953124.2,1244714.301,570.961
5442_D,13953125.6,1244708.196,570.948
5443_D,13953126.99,1244702.133,570.868
5444_D,13953128.39,1244696.048,570.886
5445_D,13953129.79,1244689.983,570.847
5446_D,13953131.25,1244683.913,570.805
5447_D,13953132.69,1244677.873,570.769
5448_D,13953134.16,1244671.82,570.76
5449_D,13953135.65,1244665.813,570.678
5450_D,13953137.15,1244659.786,570.676
5451_D,13953138.66,1244653.745,570.651
5452_D,13953140.22,1244647.742,570.636
5453_D,13953141.73,1244641.765,570.612
5454_D,13953143.29,1244635.782,570.546
5455_D,13953144.87,1244629.834,570.535
5456_D,13953146.45,1244623.901,570.501
5457_D,13953148.01,1244617.986,570.505
5458_D,13953149.6,1244612.087,570.44
5459_D,13953151.23,1244606.216,570.418
5460_D,13953152.86,1244600.352,570.382
5461_D,13953154.49,1244594.511,570.34
5462_D,13953156.15,1244588.696,570.279
5463_D,13953157.79,1244582.883,570.292
5464_D,13953159.49,1244577.103,570.26
5465_D,13953161.18,1244571.348,570.215
5466_D,13953162.88,1244565.603,570.185
5467_D,13953164.6,1244559.854,570.125
5468_D,13953166.31,1244554.155,570.111
5469_D,13953168.02,1244548.463,570.072
5470_D,13953169.79,1244542.794,570.043
5471_D,13953171.54,1244537.125,569.98
5472_D,13953173.33,1244531.504,569.955
5473_D,13953175.09,1244525.863,569.929
5474_D,13953176.87,1244520.263,569.921
5475_D,13953178.66,1244514.675,569.918
5476_D,13953180.48,1244509.103,569.847
5477_D,13953182.3,1244503.547,569.845
5478_D,13953184.13,1244497.974,569.778
5479_D,13953185.99,1244492.427,569.752
5480_D,13953187.88,1244486.883,569.726
5481_D,13953189.75,1244481.345,569.68
5482_D,13953191.65,1244475.808,569.628
5483_D,13953193.55,1244470.271,569.628
5484_D,13953195.47,1244464.776,569.585
5485_D,13953197.39,1244459.244,569.544
5486_D,13953199.34,1244453.736,569.525
5487_D,13953201.32,1244448.24,569.484
5488_D,13953203.28,1244442.747,569.453
5489_D,13953205.28,1244437.26,569.404
5490_D,13953207.28,1244431.793,569.373
5491_D,13953209.32,1244426.305,569.356
5492_D,13953211.35,1244420.823,569.32
5493_D,13953213.41,1244415.365,569.275
5494_D,13953215.44,1244409.877,569.267
5495_D,13953217.51,1244404.4,569.224
5496_D,13953219.59,1244398.916,569.203
5497_D,13953221.71,1244393.442,569.17
5498_D,13953223.86,1244387.956,569.15
5499_D,13953225.99,1244382.462,569.119
5500_D,13953228.15,1244376.961,569.098
5501_D,13953230.35,1244371.497,569.062
5502_D,13953232.51,1244366.004,569.033
5503_D,13953234.74,1244360.521,568.988
5504_D,13953236.96,1244355.052,568.957
5505_D,13953239.2,1244349.586,568.931
5506_D,13953241.44,1244344.11,568.899
5507_D,13953243.66,1244338.654,568.898
5508_D,13953245.93,1244333.228,568.862
5509_D,13953248.19,1244327.803,568.868
5510_D,13953250.5,1244322.401,568.789
5511_D,13953252.81,1244316.994,568.793
5512_D,13953255.11,1244311.613,568.732
5513_D,13953257.41,1244306.247,568.698
5514_D,13953259.74,1244300.885,568.679
5515_D,13953262.08,1244295.569,568.628
5516_D,13953264.41,1244290.248,568.611
5517_D,13953266.74,1244284.936,568.577
