id,northing,easting,elevation
6559_E,13953130.61,1244830.404,570.536
6560_E,13953132.29,1244820.654,570.491
6561_E,13953133.6,1244813.288,570.459
6562_E,13953134.91,1244805.886,570.416
6563_E,13953135.81,1244800.937,570.411
6564_E,13953136.74,1244795.979,570.35
6565_E,13953137.68,1244790.999,570.345
6566_E,13953138.62,1244786.014,570.305
6567_E,13953139.61,1244781,570.264
6568_E,13953140.58,1244775.971,570.256
6569_E,13953141.56,1244770.938,570.226
6570_E,13953142.58,1244765.888,570.206
6571_E,13953143.59,1244760.827,570.207
6572_E,13953144.62,1244755.744,570.161
6573_E,13953145.7,1244750.634,570.115
6574_E,13953146.76,1244745.505,570.117
6575_E,13953147.84,1244740.347,570.055
6576_E,13953148.96,1244735.16,570.014
6577_E,13953150.05,1244729.952,569.987
6578_E,13953151.23,1244724.721,569.977
6579_E,13953152.38,1244719.438,569.929
6580_E,13953153.6,1244714.148,569.896
6581_E,13953154.79,1244708.819,569.857
6582_E,13953156.02,1244703.469,569.847
6583_E,13953157.27,1244698.089,569.8
6584_E,13953158.54,1244692.687,569.791
6585_E,13953159.85,1244687.258,569.727
6586_E,13953161.16,1244681.798,569.681
6587_E,13953162.49,1244676.32,569.699
6588_E,13953163.84,1244670.828,569.63
6589_E,13953165.2,1244665.319,569.62
6590_E,13953166.59,1244659.796,569.597
6591_E,13953168.01,1244654.254,569.542
6592_E,13953169.44,1244648.708,569.542
6593_E,13953170.89,1244643.148,569.483
6594_E,13953172.35,1244637.58,569.437
6595_E,13953173.82,1244632.01,569.419
6596_E,13953175.3,1244626.429,569.412
6597_E,13953176.81,1244620.856,569.381
6598_E,13953178.33,1244615.289,569.356
6599_E,13953179.89,1244609.72,569.333
6600_E,13953181.45,1244604.16,569.286
6601_E,13953182.98,1244598.572,569.283
6602_E,13953184.62,1244593.025,569.24
6603_E,13953186.22,1244587.468,569.206
6604_E,13953187.79,1244581.904,569.162
6605_E,13953189.45,1244576.354,569.164
6606_E,13953191.11,1244570.806,569.079
6607_E,13953192.79,1244565.266,569.06
6608_E,13953194.44,1244559.714,569.036
6609_E,13953196.14,1244554.171,568.98
6610_E,13953197.84,1244548.642,568.963
6611_E,13953199.56,1244543.117,568.949
6612_E,13953201.3,1244537.585,568.872
6613_E,13953203.06,1244532.071,568.861
6614_E,13953204.83,1244526.536,568.81
6615_E,13953206.59,1244521.007,568.774
6616_E,13953208.4,1244515.518,568.776
6617_E,13953210.2,1244510.006,568.706
6618_E,13953212.04,1244504.486,568.664
6619_E,13953213.87,1244498.987,568.643
6620_E,13953215.72,1244493.488,568.625
6621_E,13953217.59,1244487.975,568.571
6622_E,13953219.48,1244482.461,568.544
6623_E,13953221.37,1244476.93,568.544
6624_E,13953223.33,1244471.395,568.475
6625_E,13953225.26,1244465.844,568.438
6626_E,13953227.23,1244460.277,568.409
6627_E,13953229.2,1244454.688,568.376
6628_E,13953231.24,1244449.109,568.315
6629_E,13953233.27,1244443.509,568.314
6630_E,13953235.28,1244437.897,568.299
6631_E,13953237.35,1244432.265,568.263
6632_E,13953239.43,1244426.648,568.228
6633_E,13953241.53,1244420.996,568.248
6634_E,13953243.69,1244415.33,568.142
6635_E,13953245.83,1244409.673,568.142
6636_E,13953248,1244404.009,568.127
6637_E,13953250.19,1244398.303,568.11
6638_E,13953252.43,1244392.62,568.048
6639_E,13953254.63,1244386.901,568.067
6640_E,13953256.89,1244381.198,568.103
6641_E,13953259.22,1244375.494,567.974
6642_E,13953261.47,1244369.757,567.999
6643_E,13953263.83,1244364.06,567.956
6644_E,13953266.19,1244358.373,567.885
6645_E,13953268.52,1244352.61,567.872
6646_E,13953270.84,1244346.877,567.933
6647_E,13953273.29,1244341.167,567.831
6648_E,13953275.68,1244335.446,567.817
6649_E,13953278.1,1244329.732,567.834
6650_E,13953280.54,1244324.012,567.812
