PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5717_B,38.41890655,-82.35137911,458.97,13953905.88,1253371.594,560.547
5718_B,38.41890454,-82.35139973,459.002,13953905.23,1253365.676,560.578
5719_B,38.41890277,-82.35142021,459.041,13953904.67,1253359.803,560.617
5720_B,38.41890088,-82.35144064,459.05,13953904.07,1253353.941,560.626
5721_B,38.41889904,-82.351461,459.036,13953903.49,1253348.099,560.613
5722_B,38.41889721,-82.35148132,459.031,13953902.9,1253342.27,560.607
5723_B,38.41889535,-82.35150156,459.084,13953902.31,1253336.462,560.661
5724_B,38.41889349,-82.35152186,459.143,13953901.72,1253330.639,560.72
5725_B,38.41889161,-82.35154211,459.152,13953901.12,1253324.828,560.728
5726_B,38.41888975,-82.35156242,458.979,13953900.53,1253319.001,560.556
5727_B,38.41888795,-82.35158272,459.077,13953899.96,1253313.178,560.653
5728_B,38.41888611,-82.35160304,459.06,13953899.37,1253307.346,560.637
5729_B,38.41888428,-82.35162327,459.103,13953898.79,1253301.543,560.679
5730_B,38.4188823,-82.35164352,459.114,13953898.16,1253295.733,560.69
5731_B,38.41888055,-82.35166382,458.985,13953897.61,1253289.909,560.561
5732_B,38.41887876,-82.35168405,459.028,13953897.04,1253284.105,560.604
5733_B,38.41887676,-82.35170434,459.141,13953896.39,1253278.284,560.717
5734_B,38.41887495,-82.35172466,459.099,13953895.82,1253272.453,560.675
5735_B,38.4188731,-82.35174499,459.064,13953895.23,1253266.621,560.64
5736_B,38.41887122,-82.35176543,459.06,13953894.64,1253260.754,560.635
5737_B,38.41886937,-82.35178584,459.093,13953894.05,1253254.901,560.669
5738_B,38.41886752,-82.35180647,459.093,13953893.46,1253248.982,560.669
5739_B,38.41886598,-82.3518241,459.059,13953892.97,1253243.923,560.634
5740_B,38.41886425,-82.35184228,459.035,13953892.42,1253238.707,560.611
5741_B,38.41886255,-82.35186104,459.056,13953891.88,1253233.326,560.632
5742_B,38.41886069,-82.35188066,459.073,13953891.28,1253227.696,560.649
5743_B,38.41885877,-82.35190121,459.118,13953890.67,1253221.798,560.693
5744_B,38.41885687,-82.35192293,459.138,13953890.07,1253215.569,560.713
5745_B,38.41885522,-82.3519412,459.017,13953889.55,1253210.326,560.592
5746_B,38.41885337,-82.35195997,459.109,13953888.95,1253204.939,560.684
5747_B,38.41885161,-82.35197958,459.051,13953888.39,1253199.314,560.626
5748_B,38.41884971,-82.35200008,459.027,13953887.79,1253193.434,560.602
5749_B,38.41884771,-82.35202154,459.114,13953887.15,1253187.274,560.689
5750_B,38.41884562,-82.35204365,459.163,13953886.48,1253180.932,560.738
5751_B,38.41884377,-82.35206623,459.041,13953885.9,1253174.453,560.616
5752_B,38.41884161,-82.35208887,459.102,13953885.21,1253167.958,560.677
5753_B,38.41883949,-82.35211164,459.148,13953884.54,1253161.424,560.724
5754_B,38.41883734,-82.35213456,459.193,13953883.85,1253154.847,560.768
5755_B,38.41883518,-82.35215769,459.124,13953883.16,1253148.212,560.699
5756_B,38.41883307,-82.3521809,459.137,13953882.49,1253141.552,560.712
5757_B,38.41883093,-82.35220421,459.122,13953881.81,1253134.865,560.696
5758_B,38.41882901,-82.3522247,459.098,13953881.2,1253128.985,560.673
5759_B,38.41882658,-82.35225099,459.102,13953880.42,1253121.443,560.677
5760_B,38.41882442,-82.35227413,459.134,13953879.73,1253114.803,560.708
5761_B,38.41882225,-82.3522967,459.153,13953879.04,1253108.327,560.727
5762_B,38.41882022,-82.35231859,459.176,13953878.39,1253102.046,560.751
5763_B,38.41881844,-82.35233734,459.142,13953877.82,1253096.668,560.717
5764_B,38.41881629,-82.35236105,459.166,13953877.14,1253089.863,560.741
5765_B,38.41881439,-82.35238191,459.089,13953876.54,1253083.879,560.663
5766_B,38.41881243,-82.35240244,459.195,13953875.91,1253077.988,560.769
5767_B,38.41881061,-82.35242242,459.216,13953875.33,1253072.256,560.79
5768_B,38.4188088,-82.35244162,459.189,13953874.75,1253066.747,560.763
5769_B,38.4188072,-82.35245947,459.197,13953874.24,1253061.625,560.772
5770_B,38.41880494,-82.3524838,459.211,13953873.52,1253054.647,560.785
5771_B,38.41880293,-82.352505,459.208,13953872.88,1253048.562,560.782
5772_B,38.41880129,-82.35252309,459.195,13953872.36,1253043.372,560.769
5773_B,38.41879964,-82.35254175,459.191,13953871.84,1253038.019,560.765
5774_B,38.41879792,-82.35256054,459.232,13953871.29,1253032.628,560.806
5775_B,38.41879616,-82.35258006,459.209,13953870.73,1253027.027,560.783
5776_B,38.41879437,-82.35259989,459.17,13953870.16,1253021.34,560.744
5777_B,38.41879281,-82.35261726,459.178,13953869.67,1253016.354,560.752
5778_B,38.41879115,-82.3526359,459.224,13953869.14,1253011.008,560.798
5779_B,38.41878946,-82.35265422,459.26,13953868.6,1253005.75,560.833
5780_B,38.41878751,-82.35267484,459.269,13953867.98,1252999.835,560.843
5781_B,38.41878582,-82.35269372,459.26,13953867.45,1252994.417,560.833
5782_B,38.41878384,-82.35271545,459.202,13953866.81,1252988.183,560.776
5783_B,38.41878165,-82.35273964,459.253,13953866.12,1252981.243,560.827
5784_B,38.41877926,-82.35276565,459.247,13953865.36,1252973.781,560.821
5785_B,38.41877758,-82.35278383,459.307,13953864.82,1252968.563,560.881
5786_B,38.41877586,-82.35280269,459.336,13953864.28,1252963.153,560.909
5787_B,38.41877414,-82.3528221,459.238,13953863.73,1252957.585,560.811
5788_B,38.41877233,-82.35284184,459.276,13953863.15,1252951.92,560.849
5789_B,38.41877052,-82.35286207,459.162,13953862.58,1252946.117,560.735
5790_B,38.41876865,-82.35288247,459.155,13953861.98,1252940.264,560.729
5791_B,38.41876677,-82.35290314,459.174,13953861.39,1252934.335,560.747
5792_B,38.41876501,-82.35292141,459.217,13953860.82,1252929.09,560.79
5793_B,38.41876279,-82.3529453,459.202,13953860.12,1252922.237,560.775
5794_B,38.4187608,-82.35296681,459.251,13953859.48,1252916.067,560.824
5795_B,38.41875882,-82.35298856,459.186,13953858.85,1252909.827,560.759
5796_B,38.41875677,-82.3530105,459.213,13953858.2,1252903.53,560.786
5797_B,38.41875474,-82.35303267,459.229,13953857.55,1252897.17,560.801
5798_B,38.41875265,-82.35305497,459.259,13953856.89,1252890.772,560.831
5799_B,38.41875068,-82.35307722,459.164,13953856.26,1252884.388,560.737
