PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5475_C,38.41893887,-82.35141383,458.721,13953917.79,1253361.823,560.298
5476_C,38.41893693,-82.35143492,458.693,13953917.17,1253355.77,560.27
5477_C,38.41893506,-82.35145594,458.725,13953916.58,1253349.74,560.302
5478_C,38.41893311,-82.35147694,458.699,13953915.96,1253343.715,560.275
5479_C,38.41893123,-82.35149783,458.717,13953915.36,1253337.722,560.293
5480_C,38.41892928,-82.35151866,458.729,13953914.73,1253331.746,560.305
5481_C,38.41892735,-82.35153939,458.741,13953914.12,1253325.797,560.318
5482_C,38.41892547,-82.35156003,458.764,13953913.52,1253319.875,560.341
5483_C,38.41892356,-82.35158065,458.788,13953912.91,1253313.96,560.364
5484_C,38.4189217,-82.35160119,458.737,13953912.32,1253308.067,560.314
5485_C,38.41891989,-82.35162162,458.75,13953911.75,1253302.205,560.326
5486_C,38.41891801,-82.35164192,458.778,13953911.15,1253296.38,560.354
5487_C,38.41891624,-82.35166218,458.766,13953910.59,1253290.568,560.342
5488_C,38.41891433,-82.35168225,458.777,13953909.98,1253284.812,560.354
5489_C,38.41891244,-82.35170227,458.761,13953909.38,1253279.066,560.337
5490_C,38.41891064,-82.35172211,458.774,13953908.8,1253273.373,560.35
5491_C,38.41890876,-82.35174179,458.809,13953908.2,1253267.727,560.385
5492_C,38.41890704,-82.35176153,458.722,13953907.66,1253262.065,560.298
5493_C,38.41890522,-82.3517809,458.811,13953907.08,1253256.505,560.387
5494_C,38.41890341,-82.35180027,458.789,13953906.5,1253250.948,560.365
5495_C,38.41890173,-82.35181953,458.773,13953905.97,1253245.422,560.349
5496_C,38.41889991,-82.35183862,458.765,13953905.39,1253239.944,560.34
5497_C,38.41889808,-82.35185755,458.805,13953904.8,1253234.514,560.381
5498_C,38.41889642,-82.35187639,458.81,13953904.27,1253229.108,560.386
5499_C,38.41889461,-82.35189512,458.752,13953903.69,1253223.736,560.328
5500_C,38.41889294,-82.35191377,458.813,13953903.16,1253218.383,560.388
5501_C,38.41889117,-82.35193234,458.8,13953902.6,1253213.055,560.376
5502_C,38.41888949,-82.35195073,458.791,13953902.06,1253207.778,560.366
5503_C,38.41888775,-82.35196915,458.82,13953901.51,1253202.495,560.396
5504_C,38.41888607,-82.35198743,458.783,13953900.97,1253197.249,560.359
5505_C,38.41888444,-82.35200567,458.789,13953900.46,1253192.017,560.364
5506_C,38.41888271,-82.35202377,458.813,13953899.9,1253186.822,560.389
5507_C,38.41888108,-82.35204187,458.798,13953899.38,1253181.631,560.374
5508_C,38.41887943,-82.35205976,458.766,13953898.86,1253176.498,560.342
5509_C,38.4188778,-82.35207768,458.722,13953898.34,1253171.355,560.297
5510_C,38.41887616,-82.35209544,458.752,13953897.82,1253166.26,560.327
5511_C,38.4188746,-82.35211317,458.775,13953897.32,1253161.174,560.35
5512_C,38.41887297,-82.35213072,458.744,13953896.81,1253156.14,560.32
5513_C,38.41887137,-82.35214818,458.743,13953896.3,1253151.13,560.318
5514_C,38.41886823,-82.35218255,458.694,13953895.3,1253141.269,560.269
5515_C,38.41886519,-82.35221615,458.676,13953894.33,1253131.629,560.251
5516_C,38.41886211,-82.35224902,458.709,13953893.35,1253122.196,560.284
5517_C,38.41885954,-82.35227716,458.752,13953892.53,1253114.123,560.327
5518_C,38.41885768,-82.35229696,458.757,13953891.94,1253108.443,560.331
5519_C,38.41885491,-82.35232805,458.678,13953891.06,1253099.522,560.253
5520_C,38.41885248,-82.35235426,458.715,13953890.29,1253092.001,560.29
5521_C,38.41885082,-82.35237239,458.735,13953889.76,1253086.8,560.31
