name, fCode, lati,long,ellHt,northing,easting,elev,antHt,horizPrec,vertPrec,startTime,RMS,MaxRDOP,MaxHDOP,MaxVDOP,NumPos,minSVs
AB, TOPO, +34.917216609, -79.663872385, 325.338, 425466.792, 1800992.808, 428.698, 6.562,0.029,0.046,26-May-2008 11:12:45 AM, 0.004,1.986,1.064,1.677,6,7
AC, TOPO, +34.917204828, -79.663863801, 325.291, 425462.488, 1800995.352, 428.651, 6.562,0.040,0.063,26-May-2008 11:13:17 AM, 0.007,1.984,1.065,1.674,5,7
A1, TRIG, +34.917211379, -79.663866783, 324.701, 425464.878, 1800994.474, 428.060, 6.562,0.023,0.034,26-May-2008 11:18:47 AM, 0.004,3.230,1.590,2.811,196,6
A2, TRIG, +34.917500248, -79.663156399, 324.567, 425568.581, 1801208.123, 427.932, 6.562,0.034,0.051,26-May-2008 11:25:58 AM, 0.005,1.939,1.090,1.603,192,6
B1, TRIG, +34.917349734, -79.663508048, 325.105, 425514.509, 1801102.346, 428.467, 6.562,0.009,0.037,26-May-2008 11:42:02 AM, 0.000,6.787,1.584,6.600,183,5
B2, TRIG, +34.917362058, -79.663515226, 325.136, 425519.009, 1801100.225, 428.499, 6.562,0.026,0.047,26-May-2008 11:47:45 AM, 0.002,3.199,1.559,2.793,182,5
D, Cal, +34.917354904, -79.663514187, 340.859, 425516.403, 1801100.519, 444.221, 0.000,0.032,0.055,26-May-2008 1:24:48 PM, 0.002,1.965,1.009,1.686,185,8
D2, CL, +34.917354924, -79.663514087, 340.856, 425516.410, 1801100.549, 444.218, 0.000,0.022,0.039,26-May-2008 1:28:23 PM, 0.005,2.221,1.093,1.933,181,8
main1, RET, +34.919207513, -79.656703679, 334.402, 426177.037, 1803146.513, 437.826, 6.562,0.020,0.032,26-May-2008 3:13:36 PM, 0.002,2.037,1.072,1.732,4,7
main2, RET, +34.919196645, -79.656693522, 334.417, 426173.062, 1803149.531, 437.841, 6.562,0.019,0.030,26-May-2008 3:13:50 PM, 0.002,2.038,1.071,1.734,4,7
main3, RET, +34.919030106, -79.656983902, 330.432, 426113.030, 1803062.087, 433.853, 6.562,0.023,0.036,26-May-2008 3:14:29 PM, 0.002,2.042,1.096,1.723,5,8
main4, RET, +34.919019325, -79.656973844, 330.421, 426109.087, 1803065.076, 433.843, 6.562,0.019,0.031,26-May-2008 3:14:49 PM, 0.002,1.762,0.946,1.487,5,8
entr1-80xpos, POS, +34.919009833, -79.657016490, 329.960, 426105.717, 1803052.270, 433.382, 6.562,0.027,0.043,26-May-2008 3:17:58 PM, 0.002,2.559,1.370,2.161,4,8
41-80pos, POS, +34.918774012, -79.657472907, 327.355, 426020.802, 1802914.888, 430.773, 6.562,0.021,0.035,26-May-2008 3:21:29 PM, 0.003,2.079,1.059,1.789,5,7
w2, WD, +34.918773196, -79.657475139, 327.331, 426020.510, 1802914.217, 430.749, 6.562,0.021,0.034,26-May-2008 3:22:58 PM, 0.003,1.783,0.955,1.505,4,8
g17-40epos, POS, +34.918528626, -79.657594118, 326.663, 425931.741, 1802877.962, 430.081, 6.562,0.020,0.034,26-May-2008 3:41:14 PM, 0.002,2.089,1.059,1.801,4,7
w3, WD, +34.918523146, -79.657598979, 326.499, 425929.756, 1802876.492, 429.917, 6.562,0.029,0.049,26-May-2008 3:44:03 PM, 0.005,1.470,0.751,1.263,4,7
w4, WD, +34.918518903, -79.657603317, 326.500, 425928.220, 1802875.181, 429.918, 6.562,0.031,0.052,26-May-2008 3:44:20 PM, 0.005,1.469,0.751,1.262,4,7
g17-40expos, POS, +34.918333615, -79.657796223, 325.534, 425861.173, 1802816.909, 428.951, 6.562,0.024,0.040,26-May-2008 3:45:41 PM, 0.004,2.071,1.064,1.777,6,7
65-74pos, POS, +34.918562539, -79.658778584, 321.002, 425946.437, 1802522.991, 424.407, 6.562,0.027,0.044,26-May-2008 4:41:02 PM, 0.004,1.855,0.950,1.593,5,8
69-74pos, POS, +34.918502305, -79.659148023, 320.687, 425925.251, 1802412.103, 424.089, 6.562,0.042,0.071,26-May-2008 4:42:16 PM, 0.009,2.336,1.189,2.011,5,8
65-68pos, POS, +34.918487742, -79.659144704, 320.640, 425919.945, 1802413.063, 424.042, 6.562,0.028,0.050,26-May-2008 4:42:28 PM, 0.006,2.334,1.151,2.031,5,7
66-68pos, POS, +34.918404533, -79.659505482, 320.516, 425890.381, 1802304.715, 423.915, 6.562,0.035,0.060,26-May-2008 4:43:52 PM, 0.005,1.887,0.953,1.629,4,8
70-74pos, POS, +34.918470345, -79.659521120, 320.687, 425914.363, 1802300.187, 424.086, 6.562,0.034,0.059,26-May-2008 4:44:21 PM, 0.007,1.338,0.674,1.156,4,8
71-74pos, POS, +34.918424522, -79.659892360, 320.447, 425898.426, 1802188.794, 423.841, 6.562,0.036,0.061,26-May-2008 4:45:08 PM, 0.004,1.344,0.675,1.162,4,8
67-68pos, POS, +34.918320693, -79.659867446, 320.417, 425860.591, 1802196.011, 423.812, 6.562,0.026,0.045,26-May-2008 4:45:48 PM, 0.003,2.302,1.128,2.006,4,7
72-74pos, POS, +34.918386622, -79.660191530, 320.207, 425885.230, 1802099.023, 423.599, 6.562,0.020,0.034,26-May-2008 4:46:43 PM, 0.002,1.917,0.956,1.662,4,8
57-64pos, POS, +34.918360989, -79.658705099, 322.020, 425872.941, 1802544.532, 425.427, 6.562,0.018,0.031,26-May-2008 4:49:58 PM, 0.004,1.378,0.678,1.200,3,8
EB1559-GPSobs, TRIG, +34.908748711, -79.683789934, 286.333, 422425.652, 1795001.045, 389.537, 6.562,0.039,0.069,26-May-2008 5:10:36 PM, 0.010,1.904,0.960,1.645,222,7
61-64pos, POS, +34.918302204, -79.659073312, 321.740, 425852.281, 1802434.015, 425.144, 6.562,0.027,0.062,26-May-2008 5:35:19 PM, 0.001,3.035,1.221,2.778,4,7
57-60pos, POS, +34.918261517, -79.659058941, 321.710, 425837.445, 1802438.224, 425.115, 6.562,0.028,0.051,26-May-2008 5:37:17 PM, 0.002,2.177,1.035,1.915,4,8
58-60pos, POS, +34.918165262, -79.659415881, 321.382, 425803.126, 1802330.996, 424.783, 6.562,0.019,0.035,26-May-2008 5:38:06 PM, 0.003,2.185,1.035,1.924,5,8
52-64pos, POS, +34.918229875, -79.659438647, 321.421, 425826.686, 1802324.327, 424.822, 6.562,0.022,0.041,26-May-2008 5:38:32 PM, 0.004,2.189,1.036,1.928,5,8
63-64pos, POS, +34.918157327, -79.659804315, 321.209, 425801.012, 1802214.540, 424.606, 6.562,0.032,0.060,26-May-2008 5:39:23 PM, 0.007,2.197,1.036,1.937,5,8
59-60pos, POS, +34.918056317, -79.659766374, 321.244, 425764.177, 1802225.669, 424.642, 6.562,0.026,0.050,26-May-2008 5:39:57 PM, 0.002,3.106,1.462,2.741,6,8
53-56pos, POS, +34.918196729, -79.658990538, 321.931, 425813.731, 1802458.572, 425.336, 6.562,0.018,0.031,26-May-2008 5:45:21 PM, 0.003,1.912,0.940,1.665,4,9
49-52pos, POS, +34.918165346, -79.658954365, 321.949, 425802.238, 1802469.339, 425.355, 6.562,0.018,0.031,26-May-2008 5:45:48 PM, 0.002,1.915,0.940,1.669,4,9
50-52pos, POS, +34.918020969, -79.659286127, 321.762, 425750.356, 1802369.542, 425.165, 6.562,0.022,0.039,26-May-2008 5:46:37 PM, 0.002,1.921,0.940,1.676,5,9
54-56pos, POS, +34.918074437, -79.659336379, 321.739, 425769.914, 1802354.607, 425.141, 6.562,0.018,0.032,26-May-2008 5:47:01 PM, 0.002,1.924,0.939,1.679,5,9
55-56pos, POS, +34.917952806, -79.659681189, 321.625, 425726.337, 1802250.953, 425.024, 6.562,0.022,0.040,26-May-2008 5:47:56 PM, 0.003,1.929,0.939,1.685,5,9
51-52pos, POS, +34.917864680, -79.659610043, 321.705, 425694.124, 1802272.067, 425.106, 6.562,0.019,0.034,26-May-2008 5:48:30 PM, 0.002,1.933,0.939,1.689,5,9
41-48pos, POS, +34.918212376, -79.658610931, 322.339, 425818.670, 1802572.401, 425.749, 6.562,0.029,0.047,26-May-2008 6:36:42 PM, 0.005,1.733,0.907,1.477,4,10
33-40pos, POS, +34.917935022, -79.658350929, 322.138, 425717.217, 1802649.669, 425.552, 6.562,0.020,0.033,26-May-2008 6:38:54 PM, 0.004,1.723,0.905,1.466,3,10
37-40pos, POS, +34.917763818, -79.658664230, 321.870, 425655.535, 1802555.341, 425.281, 6.562,0.022,0.036,26-May-2008 6:39:32 PM, 0.004,1.720,0.905,1.463,5,10
33-36pos, POS, +34.917729034, -79.658634120, 321.936, 425642.816, 1802564.282, 425.348, 6.562,0.020,0.033,26-May-2008 6:39:54 PM, 0.002,1.718,0.905,1.461,4,10
33-35pos, POS, +34.917520003, -79.658910491, 321.711, 425567.295, 1802480.932, 425.121, 6.562,0.028,0.045,26-May-2008 6:40:34 PM, 0.004,1.715,0.904,1.457,5,10
38-40pos, POS, +34.917609224, -79.658988693, 321.643, 425599.920, 1802457.706, 425.051, 6.562,0.029,0.046,26-May-2008 6:41:02 PM, 0.005,1.211,0.639,1.028,4,10
39-40pos, POS, +34.917458597, -79.659316664, 321.401, 425545.756, 1802359.029, 424.807, 6.562,0.030,0.048,26-May-2008 6:41:41 PM, 0.007,1.709,0.903,1.451,4,10
33-34pos, POS, +34.917307806, -79.659183354, 321.493, 425490.614, 1802398.626, 424.901, 6.562,0.035,0.056,26-May-2008 6:42:21 PM, 0.006,1.705,0.902,1.447,4,10
29-30pos, POS, +34.917228962, -79.659017889, 321.931, 425461.592, 1802448.035, 425.342, 6.562,0.020,0.031,26-May-2008 6:43:03 PM, 0.004,1.701,0.902,1.442,4,10
25-26pos, POS, +34.917150318, -79.658932608, 321.920, 425432.801, 1802473.409, 425.331, 6.562,0.022,0.036,26-May-2008 6:43:32 PM, 0.004,1.201,0.637,1.018,4,10
21-22pos, POS, +34.917055725, -79.658832402, 321.226, 425398.177, 1802503.219, 424.639, 6.562,0.023,0.037,26-May-2008 6:44:01 PM, 0.003,1.199,0.637,1.016,4,10
15-18pos, POS, +34.917000740, -79.658723900, 321.253, 425377.951, 1802535.611, 424.668, 6.562,0.025,0.039,26-May-2008 6:44:28 PM, 0.003,1.693,0.901,1.433,5,10
15-17pos, POS, +34.916782892, -79.658867259, 320.999, 425298.956, 1802492.111, 424.414, 6.562,0.020,0.032,26-May-2008 6:45:03 PM, 0.004,1.690,0.900,1.430,4,10
15-19pos, POS, +34.917272523, -79.658545115, 321.361, 425476.504, 1802589.861, 424.777, 6.562,0.023,0.037,26-May-2008 6:46:04 PM, 0.003,1.684,0.900,1.423,4,10
21-23pos, POS, +34.917306963, -79.658614550, 321.306, 425489.176, 1802569.130, 424.720, 6.562,0.025,0.039,26-May-2008 6:46:33 PM, 0.006,1.681,0.899,1.420,4,10
25-27pos, POS, +34.917393373, -79.658701043, 322.041, 425520.794, 1802543.411, 425.454, 6.562,0.021,0.034,26-May-2008 6:47:26 PM, 0.005,1.675,0.899,1.414,5,10
29-31pos, POS, +34.917447011, -79.658751019, 321.968, 425540.414, 1802528.560, 425.380, 6.562,0.022,0.034,26-May-2008 6:47:55 PM, 0.006,1.672,0.899,1.410,5,10
1520POS, POS, +34.917536655, -79.658348253, 320.660, 425572.237, 1802649.510, 424.076, 6.562,0.030,0.042,26-May-2008 6:50:29 PM, 0.003,1.861,1.067,1.526,5,9
21-24pos, POS, +34.917565778, -79.658409454, 321.611, 425582.957, 1802631.235, 425.026, 6.562,0.031,0.048,26-May-2008 6:52:00 PM, 0.004,1.647,0.896,1.381,4,10
25-28pos, POS, +34.917635854, -79.658469712, 322.085, 425608.579, 1802613.340, 425.499, 6.562,0.024,0.034,26-May-2008 6:52:56 PM, 0.003,1.868,1.072,1.530,5,9
25-32pos, POS, +34.917896849, -79.658267269, 321.424, 425703.159, 1802674.655, 424.839, 6.562,0.028,0.036,26-May-2008 6:54:18 PM, 0.004,1.721,1.054,1.361,4,10
