name, fCode, lati,long,ellHt,northing,easting,elev,antHt, horizPrec , vertPrec ,startTime,RMS,,,,NumPos,minSVs
AB, TOPO,34.91721661,-79.66387239,325.338,425466.792,1800992.808,428.698,6.562,0.029,0.046,5/26/08 11:12,0.004,,,,6,7
AC, TOPO,34.91720483,-79.6638638,325.291,425462.488,1800995.352,428.651,6.562,0.04,0.063,5/26/08 11:13,0.007,,,,5,7
A1, TRIG,34.91721138,-79.66386678,324.701,425464.878,1800994.474,428.06,6.562,0.023,0.034,5/26/08 11:18,0.004,,,,196,6
A2, TRIG,34.91750025,-79.6631564,324.567,425568.581,1801208.123,427.932,6.562,0.034,0.051,5/26/08 11:25,0.005,,,,192,6
B1, TRIG,34.91734973,-79.66350805,325.105,425514.509,1801102.346,428.467,6.562,0.009,0.037,5/26/08 11:42,0,,,,183,5
B2, TRIG,34.91736206,-79.66351523,325.136,425519.009,1801100.225,428.499,6.562,0.026,0.047,5/26/08 11:47,0.002,,,,182,5
D, Cal,34.9173549,-79.66351419,340.859,425516.403,1801100.519,444.221,0,0.032,0.055,5/26/08 13:24,0.002,,,,185,8
D2, CL,34.91735492,-79.66351409,340.856,425516.41,1801100.549,444.218,0,0.022,0.039,5/26/08 13:28,0.005,,,,181,8
main1, RET,34.91920751,-79.65670368,334.402,426177.037,1803146.513,437.826,6.562,0.02,0.032,5/26/08 15:13,0.002,,,,4,7
main2, RET,34.91919665,-79.65669352,334.417,426173.062,1803149.531,437.841,6.562,0.019,0.03,5/26/08 15:13,0.002,,,,4,7
main3, RET,34.91903011,-79.6569839,330.432,426113.03,1803062.087,433.853,6.562,0.023,0.036,5/26/08 15:14,0.002,,,,5,8
main4, RET,34.91901933,-79.65697384,330.421,426109.087,1803065.076,433.843,6.562,0.019,0.031,5/26/08 15:14,0.002,,,,5,8
entr1-80xpos, POS,34.91900983,-79.65701649,329.96,426105.717,1803052.27,433.382,6.562,0.027,0.043,5/26/08 15:17,0.002,,,,4,8
41-80pos, POS,34.91877401,-79.65747291,327.355,426020.802,1802914.888,430.773,6.562,0.021,0.035,5/26/08 15:21,0.003,,,,5,7
w2, WD,34.9187732,-79.65747514,327.331,426020.51,1802914.217,430.749,6.562,0.021,0.034,5/26/08 15:22,0.003,,,,4,8
g17-40epos, POS,34.91852863,-79.65759412,326.663,425931.741,1802877.962,430.081,6.562,0.02,0.034,5/26/08 15:41,0.002,,,,4,7
w3, WD,34.91852315,-79.65759898,326.499,425929.756,1802876.492,429.917,6.562,0.029,0.049,5/26/08 15:44,0.005,,,,4,7
w4, WD,34.9185189,-79.65760332,326.5,425928.22,1802875.181,429.918,6.562,0.031,0.052,5/26/08 15:44,0.005,,,,4,7
g17-40expos, POS,34.91833362,-79.65779622,325.534,425861.173,1802816.909,428.951,6.562,0.024,0.04,5/26/08 15:45,0.004,,,,6,7
65-74pos, POS,34.91856254,-79.65877858,321.002,425946.437,1802522.991,424.407,6.562,0.027,0.044,5/26/08 16:41,0.004,,,,5,8
69-74pos, POS,34.91850231,-79.65914802,320.687,425925.251,1802412.103,424.089,6.562,0.042,0.071,5/26/08 16:42,0.009,,,,5,8
65-68pos, POS,34.91848774,-79.6591447,320.64,425919.945,1802413.063,424.042,6.562,0.028,0.05,5/26/08 16:42,0.006,,,,5,7
66-68pos, POS,34.91840453,-79.65950548,320.516,425890.381,1802304.715,423.915,6.562,0.035,0.06,5/26/08 16:43,0.005,,,,4,8
70-74pos, POS,34.91847035,-79.65952112,320.687,425914.363,1802300.187,424.086,6.562,0.034,0.059,5/26/08 16:44,0.007,,,,4,8
71-74pos, POS,34.91842452,-79.65989236,320.447,425898.426,1802188.794,423.841,6.562,0.036,0.061,5/26/08 16:45,0.004,,,,4,8
67-68pos, POS,34.91832069,-79.65986745,320.417,425860.591,1802196.011,423.812,6.562,0.026,0.045,5/26/08 16:45,0.003,,,,4,7
72-74pos, POS,34.91838662,-79.66019153,320.207,425885.23,1802099.023,423.599,6.562,0.02,0.034,5/26/08 16:46,0.002,,,,4,8
57-64pos, POS,34.91836099,-79.6587051,322.02,425872.941,1802544.532,425.427,6.562,0.018,0.031,5/26/08 16:49,0.004,,,,3,8
EB1559-GPSobs, TRIG,34.90874871,-79.68378993,286.333,422425.652,1795001.045,389.537,6.562,0.039,0.069,5/26/08 17:10,0.01,,,,222,7
61-64pos, POS,34.9183022,-79.65907331,321.74,425852.281,1802434.015,425.144,6.562,0.027,0.062,5/26/08 17:35,0.001,,,,4,7
57-60pos, POS,34.91826152,-79.65905894,321.71,425837.445,1802438.224,425.115,6.562,0.028,0.051,5/26/08 17:37,0.002,,,,4,8
58-60pos, POS,34.91816526,-79.65941588,321.382,425803.126,1802330.996,424.783,6.562,0.019,0.035,5/26/08 17:38,0.003,,,,5,8
52-64pos, POS,34.91822988,-79.65943865,321.421,425826.686,1802324.327,424.822,6.562,0.022,0.041,5/26/08 17:38,0.004,,,,5,8
63-64pos, POS,34.91815733,-79.65980432,321.209,425801.012,1802214.54,424.606,6.562,0.032,0.06,5/26/08 17:39,0.007,,,,5,8
59-60pos, POS,34.91805632,-79.65976637,321.244,425764.177,1802225.669,424.642,6.562,0.026,0.05,5/26/08 17:39,0.002,,,,6,8
53-56pos, POS,34.91819673,-79.65899054,321.931,425813.731,1802458.572,425.336,6.562,0.018,0.031,5/26/08 17:45,0.003,,,,4,9
49-52pos, POS,34.91816535,-79.65895437,321.949,425802.238,1802469.339,425.355,6.562,0.018,0.031,5/26/08 17:45,0.002,,,,4,9
50-52pos, POS,34.91802097,-79.65928613,321.762,425750.356,1802369.542,425.165,6.562,0.022,0.039,5/26/08 17:46,0.002,,,,5,9
54-56pos, POS,34.91807444,-79.65933638,321.739,425769.914,1802354.607,425.141,6.562,0.018,0.032,5/26/08 17:47,0.002,,,,5,9
55-56pos, POS,34.91795281,-79.65968119,321.625,425726.337,1802250.953,425.024,6.562,0.022,0.04,5/26/08 17:47,0.003,,,,5,9
51-52pos, POS,34.91786468,-79.65961004,321.705,425694.124,1802272.067,425.106,6.562,0.019,0.034,5/26/08 17:48,0.002,,,,5,9
41-48pos, POS,34.91821238,-79.65861093,322.339,425818.67,1802572.401,425.749,6.562,0.029,0.047,5/26/08 18:36,0.005,,,,4,10
33-40pos, POS,34.91793502,-79.65835093,322.138,425717.217,1802649.669,425.552,6.562,0.02,0.033,5/26/08 18:38,0.004,,,,3,10
37-40pos, POS,34.91776382,-79.65866423,321.87,425655.535,1802555.341,425.281,6.562,0.022,0.036,5/26/08 18:39,0.004,,,,5,10
33-36pos, POS,34.91772903,-79.65863412,321.936,425642.816,1802564.282,425.348,6.562,0.02,0.033,5/26/08 18:39,0.002,,,,4,10
33-35pos, POS,34.91752,-79.65891049,321.711,425567.295,1802480.932,425.121,6.562,0.028,0.045,5/26/08 18:40,0.004,,,,5,10
38-40pos, POS,34.91760922,-79.65898869,321.643,425599.92,1802457.706,425.051,6.562,0.029,0.046,5/26/08 18:41,0.005,,,,4,10
39-40pos, POS,34.9174586,-79.65931666,321.401,425545.756,1802359.029,424.807,6.562,0.03,0.048,5/26/08 18:41,0.007,,,,4,10
33-34pos, POS,34.91730781,-79.65918335,321.493,425490.614,1802398.626,424.901,6.562,0.035,0.056,5/26/08 18:42,0.006,,,,4,10
29-30pos, POS,34.91722896,-79.65901789,321.931,425461.592,1802448.035,425.342,6.562,0.02,0.031,5/26/08 18:43,0.004,,,,4,10
25-26pos, POS,34.91715032,-79.65893261,321.92,425432.801,1802473.409,425.331,6.562,0.022,0.036,5/26/08 18:43,0.004,,,,4,10
21-22pos, POS,34.91705573,-79.6588324,321.226,425398.177,1802503.219,424.639,6.562,0.023,0.037,5/26/08 18:44,0.003,,,,4,10
15-18pos, POS,34.91700074,-79.6587239,321.253,425377.951,1802535.611,424.668,6.562,0.025,0.039,5/26/08 18:44,0.003,,,,5,10
15-17pos, POS,34.91678289,-79.65886726,320.999,425298.956,1802492.111,424.414,6.562,0.02,0.032,5/26/08 18:45,0.004,,,,4,10
15-19pos, POS,34.91727252,-79.65854512,321.361,425476.504,1802589.861,424.777,6.562,0.023,0.037,5/26/08 18:46,0.003,,,,4,10
21-23pos, POS,34.91730696,-79.65861455,321.306,425489.176,1802569.13,424.72,6.562,0.025,0.039,5/26/08 18:46,0.006,,,,4,10
25-27pos, POS,34.91739337,-79.65870104,322.041,425520.794,1802543.411,425.454,6.562,0.021,0.034,5/26/08 18:47,0.005,,,,5,10
